Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
394,Kygo - Higher Love,30,,31,,13369617,270250398
395,David Guetta - Bang My Head,43,,15,,10486838,268682154
396,J Balvin - QUE PRETENDES,31,,15,,17357042,268536616
397,Ariana Grande - breathin,27,2.0,2,(x1),25997814,268508104
398,Calvin Harris - Outside,67,13.0,4,,8370861,267429958
399,DJ Luian - Verte Ir,29,,25,,12586861,267074325
400,Jax Jones - You Don't Know Me,36,,17,,15002138,266552565
401,Selena Gomez - Hands To Myself,42,,12,,12292984,265159947
402,Alessia Cara - How Far I'll Go,35,,19,,13543940,264432336
403,A Boogie Wit da Hoodie - Look Back At It,30,,20,,15088372,264095621
404,Fetty Wap - 679,63,,11,,9291126,263733125
405,Billie Eilish - idontwannabeyouanymore,45,,67,,7849228,263567651
406,Ariana Grande - Problem,65,18.0,2,(x3),7890249,262950109
407,Lost Frequencies - Are You With Me,61,1.0,10,,8857030,262634560
408,Flo Rida - GDFR,64,8.0,6,,9333191,261816623
409,Maroon 5 - Maps,76,10.0,6,,8328898,261184257
410,Katy Perry - Never Really Over,27,1.0,10,,19261920,260673983
411,Migos - Walk It Talk It,35,,22,,14695037,259932739
412,YNW Melly - Murder On My Mind,32,,19,,16272850,259370718
413,DJ Khaled - No Brainer,19,5.0,2,(x1),27708887,258782051
414,Trevor Daniel - Falling,11,7.0,5,,29014454,258698054
415,Kygo - Stargazing,30,,15,,14648618,258532843
416,Pharrell Williams - Happy,97,15.0,2,(x2),6678956,257518266
417,Lukas Graham - Love Someone,36,,53,,8993351,257342829
418,J Balvin - Bonita,36,,42,,9583163,257017887
419,Lilly Wood and The Prick - Prayer in C - Robin Schulz Radio Edit,74,8.0,8,,6828745,256874275
420,Lady Gaga - Always Remember Us This Way,38,,35,,10609476,255930382
421,Katy Perry - Chained To The Rhythm,26,3.0,7,,21872281,255065002
422,Nico & Vinz - Am I Wrong,75,14.0,6,,6303006,254489431
423,Ellie Goulding - On My Mind,34,11.0,7,,12769261,253586868
424,Queen - Under Pressure - Remastered,47,,55,,8823104,252151109
425,Paulo Londra - Tal Vez,29,,24,,13246024,252139277
426,P!nk - What About Us,34,,18,,14750631,251555945
427,J Balvin - No Es Justo,29,,30,,12339454,251196085
428,Sech - Otro Trago - Remix,27,,11,,20076277,251121110
429,David Guetta - This One's for You,28,4.0,10,,16766892,250284905
430,The Weeknd - Blinding Lights,9,7.0,3,(x1),37841717,248963629
431,Manuel Turizo - Una Lady Como Tú,39,,38,,9818595,248860027
432,Fifth Harmony - Worth It,64,,12,,8538491,248842717
433,Juice WRLD - Robbery,28,,18,,16634927,248619907
434,Ariana Grande - Break Free,60,12.0,2,(x2),9101875,248504204
435,Mustard - Pure Water,33,,38,,11041777,247739039
436,Tainy - Adicto,23,,24,,12995071,247476988
437,Juice WRLD - All Girls Are The Same,39,,48,,9718306,246096351
438,Future - Low Life,57,,45,,7228219,244833232
439,G-Eazy - No Limit,30,,18,,14134442,242827532
440,Ariana Grande - Dangerous Woman,34,,14,,14064403,242784743
441,J. Cole - No Role Modelz,91,,64,,3883679,242672264
442,Miley Cyrus - Malibu,28,2.0,7,,21768525,242335864
443,Martin Garrix - Summer Days,23,,19,,15428634,242141744
444,Galantis - Runaway (U & I),89,,36,,4898044,241275752
445,David Guetta - Hey Mama,48,10.0,3,(x1),12188020,241200778
446,Bastille - Pompeii,103,,11,,4075094,241076976
447,"Dan + Shay - 10,000 Hours",17,3.0,5,,26054266,240585988
448,Machine Gun Kelly - Bad Things - With Camila Cabello,29,,16,,14773524,240076143
449,Flipp Dinero - Leave Me Alone,33,,34,,11045665,237539689
450,Rich The Kid - Plug Walk,30,,19,,14913401,237208002
451,Eminem - Lucky You,21,4.0,1,(x1),34874403,236723773
452,Martin Garrix - Ocean,25,,15,,18993111,236309833
453,Sia - Elastic Heart,68,4.0,7,,8781820,235072359
454,Maroon 5 - Animals,61,10.0,3,(x1),8076199,234997613
455,J Balvin - Safari,45,,43,,7832658,234869867
456,Ricky Martin - Vente Pa' Ca,46,,47,,7207223,234583051
457,"ROSALÍA - Yo x Ti, Tu x Mi",24,,20,,15070652,233549052
458,Ozuna - Síguelo Bailando,35,,43,,9646227,233416006
459,Rita Ora - Let You Love Me,28,,29,,12483237,232845630
460,Joel Adams - Please Don't Go,31,,28,,11124755,232762931
461,Juice WRLD - Bandit,17,,14,,17067491,232701679
462,Rihanna - FourFiveSeconds,58,4.0,1,(x3),16027911,232635112
463,The Vamps - All Night,31,,22,,12049520,232116251
464,Steve Aoki - Just Hold On,26,,16,,15149705,232053693
465,Alok - Hear Me Now,39,,27,,11140846,231952751
466,Becky G - Cuando Te Besé,29,,45,,9886882,231853720
467,Sam Hunt - Body Like A Back Road,42,,62,,6935836,231278047
468,Maroon 5 - Cold,26,,19,,15865523,231134646
469,Camilo - Tutu,25,,27,,14331450,230900618
470,Mark Ronson - Nothing Breaks Like a Heart,25,,22,,13877896,230660801
471,Migos - Slippery,45,,71,,6380929,230562767
472,Kent Jones - Don't Mind,29,,16,,13787675,229554398
473,The Weeknd - Pray For Me,19,5.0,3,(x1),22614831,229380013
474,AJR - Weak,35,,25,,11864437,228778178
475,Ariana Grande - boyfriend,18,3.0,3,(x1),31301265,227960793
476,Pitbull - Time of Our Lives,60,5.0,8,,8897197,227415012
477,21 Savage - a lot,26,,21,,16289065,226852124
