artist,title,views,decade
French Montana,No Stylist,12894471,2013-2020
DaBaby,BOP,15678826,2013-2020
Bobby Helms,Jingle Bell Rock,24951120,2013-2020
Ed Sheeran,Cross Me,19742322,2013-2020
Sebastian Yatra,Traicionera,5324707,2013-2020
Daya,Hide Away,8051377,2013-2020
Justin Timberlake,Say Something,12836798,2013-2020
Kodak Black,Tunnel Vision,10718629,2013-2020
Marshmello,One Thing Right,12498236,2013-2020
Rihanna,Bitch Better Have My Money,6936109,2013-2020
Alesso,Heroes (we could be),7138967,2013-2020
Sia,Thunderclouds,12055103,2013-2020
Tove Lo,Cool Girl,11477311,2013-2020
Sam Feldt,Post Malone,8990462,2013-2020
"Tyler, The Creator",EARFQUAKE,22055401,2013-2020
Jay Rock,King's Dead,12530784,2013-2020
Band Aid,Do They Know It's Christmas? - 1984 Version,20989282,2013-2020
Migos,MotorSport,10910672,2013-2020
SHAED,Trampoline,14071254,2013-2020
Kodak Black,Roll In Peace,6161080,2013-2020
J Balvin,Sigo Extrañándote,6775494,2013-2020
Hailee Steinfeld,Most Girls,8555977,2013-2020
Alan Walker,On My Way,11307170,2013-2020
Adele,When We Were Young,9467843,2013-2020
Lauv,"fuck, i'm lonely",12502607,2013-2020
The Chainsmokers,Sick Boy,15514241,2013-2020
One Direction,Perfect,14340193,2013-2020
Taylor Swift,Lover,29990567,2013-2020
Ellie Goulding,Hate Me,11007915,2013-2020
David Guetta,Dangerous,9917577,2013-2020
Drake,I'm Upset,28743698,2013-2020
The Killers,Mr. Brightside,4632725,2013-2020
Drake,Portland,18349259,2013-2020
Halsey,Graveyard,13583667,2013-2020
Billie Eilish,all the good girls go to hell,21263958,2013-2020
Eminem,The Monster,9448084,2013-2020
Jon Bellion,All Time Low,11324808,2013-2020
Lil Xan,Betrayed,7758555,2013-2020
Shakira,Clandestino,10333670,2013-2020
Kina,Get You The Moon,6895350,2013-2020
JP Cooper,September Song,8421372,2013-2020
Alessia Cara,Wild Things,8564900,2013-2020
XXXTENTACION,the remedy for a broken heart (why am I so in love),13521112,2013-2020
Billie Eilish,i love you,15560959,2013-2020
Luis Fonsi,Imposible,8466082,2013-2020
Lil Mosey,Noticed,10196053,2013-2020
Rag'n'Bone Man,Human,6934906,2013-2020
Cardi B,Money,9714415,2013-2020
Avicii,The Nights,11612203,2013-2020
Meghan Trainor,NO,12512265,2013-2020
Justin Bieber,Company,9266436,2013-2020
Kanye West,Famous,12718673,2013-2020
A Boogie Wit da Hoodie,Drowning,5739379,2013-2020
Marc E. Bassy,You & Me,9817798,2013-2020
KYLE,Playinwitme,11789806,2013-2020
Danny Ocean,Dembow,7435864,2013-2020
Coldplay,Magic,6090356,2013-2020
Ariana Grande,Love Me Harder,7221579,2013-2020
Ed Sheeran,Sing,6391541,2013-2020
OneRepublic,Wherever I Go,9301348,2013-2020
Shawn Mendes,I Know What You Did Last Summer,9040377,2013-2020
Bazzi,I.F.L.Y.,9546812,2013-2020
Flume,Say It,6327930,2013-2020
Travis Scott,STARGAZING,30434014,2013-2020
Joey Montana,Suena El Dembow,6901800,2013-2020
Alan Walker,All Falls Down,8009107,2013-2020
Hailee Steinfeld,Love Myself,6796031,2013-2020
Chance the Rapper,No Problem,4980819,2013-2020
Sam Smith,I'm Not The Only One,8452834,2013-2020
Jason Derulo,Tip Toe,9943095,2013-2020
Burak Yeter,Tuesday,7971251,2013-2020
George Ezra,Budapest,3786016,2013-2020
Sebastian Yatra,Ya No Tiene Novio,7883355,2013-2020
Zara Larsson,Ain't My Fault,11800265,2013-2020
Fifth Harmony,All In My Head (Flex),9531990,2013-2020
Billie Eilish,bellyache,7463975,2013-2020
Bazzi,Paradise,12160715,2013-2020
John Legend,Love Me Now,10098705,2013-2020
YNW Melly,223's,12075982,2013-2020
Echosmith,Cool Kids,5889234,2013-2020
Silentó,Watch Me (Whip / Nae Nae),7636537,2013-2020
Rae Sremmurd,Swang,6355205,2013-2020
Sean Paul,Mad Love,10820284,2013-2020
Rob $tone,Chill Bill,6029364,2013-2020
Disclosure,Latch,4212371,2013-2020
Bad Bunny,Vete,21654855,2013-2020
The Weeknd,Party Monster,20680768,2013-2020
Selena Gomez,Fetish,19979354,2013-2020
Ariana Grande,imagine,22191327,2013-2020
Zedd,Happy Now,12682196,2013-2020
Jason Derulo,Wiggle,7977611,2013-2020
Robin Schulz,OK,7673376,2013-2020
Post Malone,Saint-Tropez,30900415,2013-2020
Andy Grammer,Fresh Eyes,9398900,2013-2020
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,19911738,2013-2020
Jonas Blue,By Your Side,9731668,2013-2020
Lost Frequencies,Reality,6105987,2013-2020
Bad Bunny,Amorfoda,20012260,2013-2020
Playboi Carti,Magnolia,7604634,2013-2020
Sean Paul,Contra La Pared,8566614,2013-2020
Nicky Jam,Hasta el Amanecer,4702381,2013-2020
Robin Schulz,Shed a Light,10513447,2013-2020
Harry Styles,Watermelon Sugar,21814400,2013-2020
Sebastian Yatra,Un Año,9499562,2013-2020
James Bay,Hold Back The River,6371196,2013-2020
Lewis Capaldi,Bruises,7561281,2013-2020
Sech,Que Mas Pues - Remix,7876971,2013-2020
Juice WRLD,Armed And Dangerous,11478075,2013-2020
Lorde,Green Light,15782320,2013-2020
MEDUZA,Lose Control,12583387,2013-2020
Romeo Santos,Bella y Sensual,5349855,2013-2020
Pitbull,Hey Ma,7834318,2013-2020
Maluma,Mala Mía,8660335,2013-2020
Anne-Marie,Alarm,8506278,2013-2020
Cosculluela,Madura,7201942,2013-2020
YG,Go Loko,11201316,2013-2020
Meghan Trainor,Like I'm Gonna Lose You,5828666,2013-2020
Drake,"Hold On, We're Going Home",4524152,2013-2020
Post Malone,Ball For Me,21648376,2013-2020
Liam Payne,For You (Fifty Shades Freed) (& Rita Ora),13208405,2013-2020
John Lennon,Happy Xmas (War Is Over) - Remastered,21367029,2013-2020
NEIKED,Sexual,7798359,2013-2020
Cardi B,Bartier Cardi,13417677,2013-2020
Jason Derulo,Talk Dirty,4465856,2013-2020
Travis Scott,YOSEMITE,14805515,2013-2020
Maluma,El Préstamo,8568607,2013-2020
Sam Smith,I'm Not The Only One,4413260,2013-2020
Justin Bieber,I'll Show You,16202263,2013-2020
Little Mix,Woman Like Me,13304136,2013-2020
Shakira,Perro Fiel,9130643,2013-2020
Harry Styles,Adore You,25393341,2013-2020
X Ambassadors,Renegades,5231323,2013-2020
Daddy Yankee,Dura - Remix,8594481,2013-2020
Rae Sremmurd,Powerglide,9616734,2013-2020
J Balvin,Reggaeton,7566171,2013-2020
Becky G,Bubalu,7779098,2013-2020
Reik,Amigos Con Derechos,7746544,2013-2020
Blueface,Thotiana,14588485,2013-2020
Sigala,Easy Love,8129356,2013-2020
Enrique Iglesias,EL BAÑO,10432928,2013-2020
Iggy Azalea,Black Widow,7308886,2013-2020
Kygo,Happy Now,10974050,2013-2020
Reik,Indeciso,8083484,2013-2020
Eminem,'Till I Collapse,4582126,2013-2020
21 Savage,X,5135526,2013-2020
Lizzo,Good As Hell,10254273,2013-2020
Ellie Goulding,Burn,3862233,2013-2020
IAmChino,Ay Mi Dios,5387559,2013-2020
Martin Garrix,So Far Away,9799207,2013-2020
Coldplay,The Scientist,3795147,2013-2020
Zara Larsson,I Would Like,10484579,2013-2020
Little Mix,Touch,7656418,2013-2020
Rihanna,Love On The Brain,6981516,2013-2020
The Weeknd,Heartless,28298094,2013-2020
J Balvin,Ginza,5732521,2013-2020
Logic,Everyday,16130395,2013-2020
Katy Perry,Swish Swish,10921671,2013-2020
Ariana Grande,Focus,12208662,2013-2020
Karol G,Culpables,6823544,2013-2020
Justin Bieber,Yummy,38715310,2013-2020
Carly Rae Jepsen,I Really Like You,7684232,2013-2020
Katy Perry,Roar,5549675,2013-2020
Enrique Iglesias,Bailando - Spanish Version,3132780,2013-2020
Beyoncé,7/11,5440544,2013-2020
Drake,Signs,15924680,2013-2020
Bebe Rexha,I Got You,7079065,2013-2020
Halsey,Bad At Love,7147419,2013-2020
Cardi B,Please Me,16331768,2013-2020
Little Mix,Shout Out to My Ex,13092597,2013-2020
XXXTENTACION,BAD!,22370036,2013-2020
David Guetta,Bad,7673364,2013-2020
Sia,Cheap Thrills,5068632,2013-2020
Sage The Gemini,Now and Later,10654068,2013-2020
Lil Uzi Vert,The Way Life Goes,9341555,2013-2020
Chino & Nacho,Andas En Mi Cabeza,3629891,2013-2020
Macklemore & Ryan Lewis,Downtown,8352728,2013-2020
Alan Walker,Alone,9173336,2013-2020
Ariana Grande,Don’t Call Me Angel (Charlie’s Angels),32667288,2013-2020
Sech,Si Te Vas,9387945,2013-2020
Billie Eilish,bad guy,21458729,2013-2020
JAY Z,Ni**as In Paris,2527335,2013-2020
Lady Gaga,The Cure,11818268,2013-2020
Taylor Swift,...Ready For It?,17763978,2013-2020
Shakira,Me Enamoré,6525973,2013-2020
Daddy Yankee,Que Tire Pa Lante,12258421,2013-2020
Famous Dex,JAPAN,10795322,2013-2020
Robin Schulz,Headlights,7022425,2013-2020
Ozuna,Solita,6811201,2013-2020
Arctic Monkeys,Do I Wanna Know?,2269902,2013-2020
MC Fioti,Bum Bum Tam Tam,7524726,2013-2020
Michael Bublé,Holly Jolly Christmas,19721103,2013-2020
Ed Sheeran,Dive,22520144,2013-2020
Dalex,Cuaderno,8152027,2013-2020
Nicky Jam,X - Remix,11380927,2013-2020
Piso 21,Te Amo,6583634,2013-2020
Selena Gomez,Look At Her Now,21790923,2013-2020
Becky G,Shower,6395087,2013-2020
Niall Horan,This Town,12612335,2013-2020
Years & Years,King,7173514,2013-2020
Queen,Somebody To Love - Remastered 2011,9260667,2013-2020
Tove Lo,Stay High - Habits Remix,5045008,2013-2020
Lewis Capaldi,Before You Go,15653077,2013-2020
Bing Crosby,White Christmas,15643273,2013-2020
AronChupa,I'm an Albatraoz,4552106,2013-2020
Big Shaq,Man's Not Hot,10229463,2013-2020
Demi Lovato,Cool for the Summer,7826287,2013-2020
Post Malone,Paranoid,31182644,2013-2020
Sheppard,Geronimo,5387659,2013-2020
José Feliciano,Feliz Navidad,20300178,2013-2020
Drake,Pop Style,11898517,2013-2020
Bryson Tiller,Exchange,4020032,2013-2020
Adele,Water Under the Bridge,7530043,2013-2020
Myke Towers,Si Se Da,6822944,2013-2020
J Balvin,Mi Gente,15823808,2013-2020
Post Malone,Hollywood's Bleeding,28946369,2013-2020
Tove Lo,Talking Body,6208542,2013-2020
Jennifer Lopez,Ain't Your Mama,5758619,2013-2020
benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",16111773,2013-2020
G-Eazy,Good Life,12786896,2013-2020
Sam Smith,Money On My Mind,4103335,2013-2020
Nevada,The Mack,8814434,2013-2020
Petit Biscuit,Sunset Lover,7245899,2013-2020
Post Malone,Enemies,25861671,2013-2020
Niall Horan,Too Much To Ask,11073444,2013-2020
Calvin Harris,Rollin,11604438,2013-2020
Sebastian Yatra,Por Perro,6707725,2013-2020
Alvaro Soler,La Cintura,10848362,2013-2020
Fall Out Boy,Centuries,5282344,2013-2020
Lorde,Team,3798882,2013-2020
Lil Uzi Vert,Sanguine Paradise,10891403,2013-2020
Lord Huron,The Night We Met,8362185,2013-2020
Ruth B.,Lost Boy,3787147,2013-2020
Camila Cabello,My Oh My,19300578,2013-2020
The Weeknd,In The Night,7386246,2013-2020
Khalid,Talk,17410486,2013-2020
DJ Snake,Turn Down for What,4322985,2013-2020
Mustard,Ballin',12004885,2013-2020
DaBaby,VIBEZ,9002968,2013-2020
Daddy Yankee,Vuelve,6653418,2013-2020
Ozuna,Unica,7754505,2013-2020
Meghan Trainor,Lips Are Movin,7073920,2013-2020
Future,Selfish,9935891,2013-2020
Rich Music LTD,Quizas,8814040,2013-2020
Apache 207,Roller,8395606,2013-2020
CNCO,Reggaetón Lento (Remix),7716858,2013-2020
Bruno Mars,Versace on the Floor,5137524,2013-2020
Tiësto,Wasted,5984920,2013-2020
David Guetta,Lovers on the Sun,5798766,2013-2020
Lizzo,Good As Hell,12495965,2013-2020
XXXTENTACION,Hope,10147938,2013-2020
Taylor Swift,Delicate,12788750,2013-2020
Daya,"Sit Still, Look Pretty",4595306,2013-2020
Anuel Aa,Quiere Beber,9739397,2013-2020
Kanye West,All Mine,27716117,2013-2020
Wisin,Vacaciones,5214524,2013-2020
Kesha,Praying,9957610,2013-2020
Jason Derulo,If It Ain't Love,8780099,2013-2020
Nicky Jam,Whine Up,9807122,2013-2020
The Weeknd,Often,5054030,2013-2020
Logic,Homicide,27894553,2013-2020
6ix9ine,KIKA,17735352,2013-2020
Sebastian Yatra,SUTRA,6224427,2013-2020
Jason Derulo,Trumpets,3583542,2013-2020
Joji,SLOW DANCING IN THE DARK,7237051,2013-2020
Jax Jones,Breathe,9283638,2013-2020
Miguel,Sky Walker,7143348,2013-2020
Normani,Motivation,10353406,2013-2020
Calum Scott,Dancing On My Own,4798016,2013-2020
MKTO,Classic,4790578,2013-2020
Queen,We Will Rock You - Remastered,7615977,2013-2020
Sam Smith,Have Yourself A Merry Little Christmas,14168829,2013-2020
Young Thug,pick up the phone,4277147,2013-2020
Nicki Minaj,Bed,14917808,2013-2020
Big Sean,I Don't Fuck With You,3981169,2013-2020
Avicii,The Days,7862217,2013-2020
Liam Payne,Familiar,10135185,2013-2020
Nicky Jam,Si Tú La Ves,4306871,2013-2020
Brytiago,Asesina,7188038,2013-2020
Miley Cyrus,Wrecking Ball,6033827,2013-2020
Major Lazer,Que Calor,7093193,2013-2020
OMI,Hula Hoop,6732598,2013-2020
YNW Melly,Mixed Personalities,8922507,2013-2020
OneRepublic,Rich Love,9304763,2013-2020
Tory Lanez,LUV,8807940,2013-2020
Tinie Tempah,Girls Like,5740481,2013-2020
Karol G,Créeme,6222776,2013-2020
Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",11997661,2013-2020
Maroon 5,Wait,7246334,2013-2020
The Pogues,Fairytale of New York,12259858,2013-2020
Drake,Back To Back,3888413,2013-2020
SZA,Love Galore,6402678,2013-2020
Snakehips,Don't Leave,9379581,2013-2020
Chris Brown,Ayo,6012390,2013-2020
Fetty Wap,Again,5040302,2013-2020
Jeremy Zucker,comethru,6088886,2013-2020
One Direction,History,7159428,2013-2020
Manuel Turizo,Esclavo de Tus Besos,7761767,2013-2020
P!nk,Walk Me Home,8647234,2013-2020
Aaron Smith,Dancin,6605984,2013-2020
Hailee Steinfeld,Capital Letters,11580726,2013-2020
Drake,Gyalchester,14823651,2013-2020
Justin Quiles,DJ No Pare,6682269,2013-2020
Blanco Brown,The Git Up,7922819,2013-2020
5 Seconds of Summer,Easier,13581944,2013-2020
Chris Brown,Questions,7682316,2013-2020
J Balvin,Bobo,4385391,2013-2020
Juice WRLD,Lean Wit Me,7126666,2013-2020
Ella Henderson,Ghost,4637141,2013-2020
ZAYN,Still Got Time,9993322,2013-2020
Natalie La Rose,Somebody,5831086,2013-2020
Lunay,Aventura,8874749,2013-2020
Zay Hilfigerrr,Juju On That Beat (TZ Anthem),9428231,2013-2020
Thalía,No Me Acuerdo,7460620,2013-2020
5 Seconds of Summer,Teeth,9555911,2013-2020
Tyga,Ayy Macarena,12456752,2013-2020
Rachel Platten,Fight Song,5371926,2013-2020
Mabel,Mad Love,9823977,2013-2020
Kendrick Lamar,ELEMENT.,21832141,2013-2020
Wisin & Yandel,Aullando,6475650,2013-2020
Alex Rose,Toda - Remix,6027173,2013-2020
Drake,Sneakin’,8062614,2013-2020
David Guetta,Don't Leave Me Alone,10332824,2013-2020
Future,Life Is Good,39404104,2013-2020
R3HAB,All Around The World (La La La),9125803,2013-2020
Ozuna,Tú Foto,6466640,2013-2020
DJ Snake,You Know You Like It,6651427,2013-2020
Sebastian Yatra,Runaway,9284418,2013-2020
Bad Bunny,Solo de Mi,10172678,2013-2020
One Direction,Steal My Girl,7108569,2013-2020
Tiësto,Ritual,7660524,2013-2020
Billie Eilish,my strange addiction,18477082,2013-2020
Drake,Energy,5202432,2013-2020
Diplo,Be Right There,4000881,2013-2020
Travis Scott,Antidote,4396483,2013-2020
Joey Montana,Picky,3548551,2013-2020
ZAYN,LIKE I WOULD,10057359,2013-2020
Jess Glynne,Hold My Hand,6004857,2013-2020
Dimitri Vegas & Like Mike,Instagram,7098297,2013-2020
Kodak Black,Codeine Dreaming,8413714,2013-2020
Don Toliver,No Idea,13905621,2013-2020
Dalex,Hola - Remix,12805722,2013-2020
Kehlani,Nights Like This,11568466,2013-2020
Dawin,Dessert,4069007,2013-2020
Lil Mosey,Stuck In A Dream,10615406,2013-2020
Astrid S,Hurts So Good,4577312,2013-2020
Jason Derulo,Goodbye,9914855,2013-2020
Post Malone,Spoil My Night,25175356,2013-2020
Kanye West,Father Stretch My Hands Pt. 1,8503618,2013-2020
Camila Cabello,Havana - Remix,8348340,2013-2020
Elle King,Ex's & Oh's,3845103,2013-2020
Elvis Presley,Blue Christmas,11774400,2013-2020
Yandel,Explícale,5125876,2013-2020
Post Malone,Stay,23585361,2013-2020
James Arthur,Naked,6399541,2013-2020
XXXTENTACION,whoa (mind in awe),18505893,2013-2020
Ed Sheeran,Tenerife Sea,3235261,2013-2020
Wolfine,Bella - Remix,6391246,2013-2020
Ant Saunders,Yellow Hearts,9630162,2013-2020
Young Thug,Hot,9768494,2013-2020
Kris Kross Amsterdam,Whenever,10007070,2013-2020
The Chainsmokers,Somebody,7978667,2013-2020
Ozuna,Baila Baila Baila - Remix,7841458,2013-2020
Ozuna,Tu Foto,6267272,2013-2020
Ed Sheeran,Antisocial,25282995,2013-2020
blackbear,do re mi,6560095,2013-2020
Kiesza,Hideaway,3944528,2013-2020
Nat King Cole,The Christmas Song (Merry Christmas To You),16246584,2013-2020
Ed Sheeran,What Do I Know?,20428343,2013-2020
Calboy,Envy Me,6725641,2013-2020
Luke Christopher,Lot to Learn,6341248,2013-2020
Beyoncé,Drunk in Love,4070089,2013-2020
Drake,Know Yourself,4613145,2013-2020
Don Omar,Te Quiero Pa´Mi,3962918,2013-2020
Billie Eilish,xanny,20257146,2013-2020
Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,4421273,2013-2020
Jeremih,oui,4380356,2013-2020
Bad Bunny,NI BIEN NI MAL,8693828,2013-2020
Myke Towers,Si Se Da - Remix,7608980,2013-2020
Eminem,Venom - Music From The Motion Picture,13202544,2013-2020
Fifth Harmony,Down,8522249,2013-2020
Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",12999466,2013-2020
The Lumineers,Ophelia,3705255,2013-2020
Miley Cyrus,Mother's Daughter,14567926,2013-2020
Daddy Yankee,Shaky Shaky,4397105,2013-2020
Niall Horan,Nice To Meet Ya,8851964,2013-2020
Gente De Zona,La Gozadera,2541185,2013-2020
NLE Choppa,Camelot,9579243,2013-2020
Matoma,Running Out,3885945,2013-2020
Drake,Mob Ties,25933856,2013-2020
Ayo & Teo,Rolex,5150802,2013-2020
J. Cole,KOD,25826342,2013-2020
Future,Fine China,14436312,2013-2020
2 Chainz,It's A Vibe,4998859,2013-2020
King Princess,1950,8088141,2013-2020
Paul McCartney,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,18378455,2013-2020
The Script,Superheroes,5843081,2013-2020
Ozuna,El Farsante,4972480,2013-2020
DNCE,Toothbrush,6096845,2013-2020
Ozuna,Dile Que Tu Me Quieres,4792536,2013-2020
Avicii,Heaven,18246581,2013-2020
DJ Snake,A Different Way,7201200,2013-2020
Burl Ives,A Holly Jolly Christmas - Single Version,13793327,2013-2020
Lady Gaga,Million Reasons,5446634,2013-2020
Young Thug,Hot (Remix),11338485,2013-2020
Kygo,Raging,7300654,2013-2020
A Boogie Wit da Hoodie,Startender,8247911,2013-2020
PARTYNEXTDOOR,Come and See Me,3214687,2013-2020
Eminem,The Ringer,30918553,2013-2020
Kevin Gates,2 Phones,4800818,2013-2020
Julia Michaels,Heaven,11159967,2013-2020
Rich The Kid,Splashin,6875259,2013-2020
J Balvin,Machika,7958019,2013-2020
Ozuna,Ibiza,6097459,2013-2020
Lil Skies,Nowadays,6232846,2013-2020
Lauv,Mean It,12015729,2013-2020
Demi Lovato,Body Say,5510873,2013-2020
Halsey,New Americana,3499359,2013-2020
Macklemore,Good Old Days,7544458,2013-2020
Sam Smith,Like I Can,5174180,2013-2020
Chris Rea,Driving Home for Christmas,16575452,2013-2020
Tyga,SWISH,8459417,2013-2020
Lil Uzi Vert,Futsal Shuffle 2020,20451202,2013-2020
Pitbull,Fireball,4503000,2013-2020
Robin Thicke,Blurred Lines,3382254,2013-2020
Alan Walker,Sing Me to Sleep,5375539,2013-2020
Metro Boomin,Space Cadet,8046707,2013-2020
Kygo,Here for You,5212658,2013-2020
Kanye West,Follow God,31273064,2013-2020
6ix9ine,MALA,8277285,2013-2020
Taylor Swift,ME!,37826059,2013-2020
Noah Cyrus,Make Me (Cry),6663105,2013-2020
Lil Pump,Esskeetit,9987084,2013-2020
Brytiago,Asesina - Remix,5750675,2013-2020
Lil Uzi Vert,You Was Right,3906269,2013-2020
Ed Sheeran,New Man,21746337,2013-2020
Imany,Don't Be So Shy - Filatov & Karas Remix,4818973,2013-2020
Anuel Aa,Hipócrita,5406598,2013-2020
Sebastian Yatra,Alguien Robo,4006711,2013-2020
