artist,title,views,current avg/day
Selena Gomez,Lose You To Love Me,235726099,748339
"DJ Snake, J. Balvin, Tyga",Loco Contigo,233236192,417675
"Y2K, bbno$",Lalala,229741815,847156
Lil Dicky,Earth,226174970,160905
Reynmen,Ela,225470607,305037
Lil Nas X,Panini,222941480,538476
BLACKPINK,'Kill This Love' DANCE PRACTICE VIDEO (MOVING VER.),220869001,251091
Badshah,Paagal,220804100,289862
กรรม,ป้าง นครินทร์「Official MV」,219314297,212081
"Los Ángeles Azules, Belinda, Lalo Ebratt",Amor A Primera Vista ft. Horacio Palencia,218738119,755798
Lil Tecca,Ransom (Dir. by @_ColeBennett_),214416149,334939
Sarah Jeffery,"Queen of Mean (From ""Descendants 3"")",210309192,345576
Gusttavo Lima,Milu,208482661,380942
Mohamed Ramadan & Saad Lamjarred,Ensay,207289935,272616
Guru Randhawa,SLOWLY SLOWLY,205806970,94310
Baani Sandhu,8 Parche,205270722,853524
Dababy,Suge (Yea Yea),203516478,353420
Aseel Hameem,Ser Alhayah,203265386,307392
Sam Smith,How Do You Sleep?,202549507,424989
21 Savage,a lot ft. J. Cole,202293068,216090
Aventura,Inmortal,200876220,164415
