artist,title,views,current avg/day
Daddy Yankee & Snow,Con Calma,1712046832,1563389
"ROSALÍA, J Balvin",Con Altura ft. El Guincho,1278376000,1962075
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,1069324165,2644025
"Anuel AA, KAROL G",Secreto,948312426,668069
"Shawn Mendes, Camila Cabello",Señorita,910252756,1450298
"Jhay Cortez, J. Balvin, Bad Bunny",No Me Conoce (Remix),904777091,1336000
Maari 2,"Rowdy Baby | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",766528055,758763
Billie Eilish,bad guy,752615926,2018142
BLACKPINK,'Kill This Love' M/V,729256068,874194
"Dhvani Bhanushali & Nikhil D’Souza",Vaaste,694547292,941546
Ariana Grande,7 rings,688663388,823930
BTS,작은 것들을 위한 시 (Boy With Luv),686977869,853645
Maluma,HP,651040437,332175
TONES AND I,DANCE MONKEY,629308561,4730903
B praak,FILHALL,580492713,3017144
"Sam Smith, Normani",Dancing With A Stranger,514201323,429169
Jass Manak,Lehanga,509072507,2199150
Nicky Jam x Ozuna,Te Robaré,501884373,251670
Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) [Remix],495553235,340772
Lunay X Daddy Yankee X Bad Bunny,Soltera Remix,482143040,710703
Maluma,11 PM,481807857,589035
"Tainy, Anuel AA, Ozuna",Adicto,469590661,988149
"Sebastián Yatra, Reik",Un Año,462171575,410914
"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),456376599,2534195
"KAROL G, Nicki Minaj",Tusa,452478806,7353952
"Wisin & Yandel, Romeo Santos",Aullando,432651047,219167
Lil Nas X,Old Town Road ft. Billy Ray Cyrus,431394289,666587
Sech,Otro Trago ft. Darell,421275103,383769
Bad Bunny,Callaíta,417164503,739576
Daddy Yankee,Que Tire Pa' 'Lante,416575732,2269828
Tony Kakkar Neha Kakkar,COCA COLA Song,410470840,479581
Paulo Londra,Tal Vez,406129993,640395
Millind Gaba,She Don't Know,400001955,395396
Dheeme Dheeme,Tony Kakkar,385671706,634584
Maroon 5,Memories,380298191,1520820
Dhurata Dora ft. Soolking,Zemër,379505702,517845
Sukh-E Muzical Doctorz,COKA,375148306,404870
"Camilo, Pedro Capó",Tutu,368574976,906555
"Neha Kakkar, Tulsi Kumar & B Praak",O SAKI SAKI,354545951,622220
Ed Sheeran & Justin Bieber,I Don't Care,347943447,527428
Guaynaa,ReBoTa,340052243,297470
"Arijit Singh & Asees Kaur",Ve Maahi,338416711,439481
Arijit Singh,Pachtaoge,336946848,514773
Myke Towers & Farruko,Si Se Da,336777588,220799
Ariana Grande,"break up with your girlfriend, i'm bored",331828183,244370
Rauw Alejandro x Farruko,Fantasías,325432835,1428391
Verte Ir,Dj Luian x Mambo Kingz x Anuel Aa x Darell x Nicky Jam x Brytiago,316304514,347507
Billie Eilish,bury a friend,310101394,460163
KAROL G,Ocean,304102175,455041
Matheus & Kauan,Vou Ter Que Superar (Ao Vivo) ft. Marilia Mendonça,299228495,326855
Cardi B & Bruno Mars,Please Me,298586361,224738
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),297707128,255051
"Ritesh Pandey,Sneh Upadhya",Hello Koun,292284456,4209234
Marília Mendonça,TODO MUNDO VAI SOFRER (Todos Os Cantos),292283303,358771
Lil Nas X,Old Town Road ft. Billy Ray Cyrus,287953598,1367938
"Becky G, Maluma",La Respuesta,279913808,286619
K-ICM,BẠC PHẬN,276830623,400310
Offset,Clout ft. Cardi B,270374492,310149
Sohail Sen Featuring Vishal Dadlani,Shaitan Ka Saala,268914891,1449278
"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",267112648,660129
"Sebastián Yatra, Daddy Yankee, Natti Natasha",Runaway ft. Jonas Brothers,264803488,318784
K-ICM x JACK,SÓNG GIÓ,263865505,521733
Reynmen,Derdim Olsun,263700006,145601
"Alan Walker, Sabrina Carpenter & Farruko",On My Way,261959152,289824
TWICE,FANCY,260826882,367006
Natti Natasha X Romeo Santos,La Mejor Versión De Mi (Remix),259501637,744818
"Lady Gaga, Bradley Cooper",Shallow (From A Star Is Born/Live From The Oscars),256501601,256236
Anitta & Kevinho,Terremoto,255774988,211140
"Myke Towers, Farruko, Arcangel, Sech & Zion",Si Se Da Remix,255203686,1040800
Christian Nodal,De Los Besos Que Te Di,250066947,346769
"J. Balvin, Bad Bunny",LA CANCIÓN (Audio),250050453,178969
Jonas Brothers,Sucker,249250327,189535
"GIMS, Maluma",Hola Señorita (Maria),247075309,360879
Hook Up Song,Student Of The Year 2 | Tiger Shroff & Alia | Vishal and Shekhar |Neha Kakkar|Kumaar,244884003,383404
ชอบแบบนี้,หนามเตย สะแบงบิน,242122789,108001
Dalex,"Pa Mi (Remix) ft. Sech, Rafa Pabön, Cazzu, Feid, Khea and Lenny Tavarez",240561882,85591
"Calvin Harris, Rag'n'Bone Man",Giant,239882383,169925
Addy Nagar- Hamsar Hayat,Ishq Ka Raja,236884866,398020
Khalid,Talk,236322173,191488
