artist,title,views,current avg/day
Luis Fonsi,Despacito,6619234392,918947
Ed Sheeran,Shape of You,4606916085,1627910
"J Balvin, Willy William",Mi Gente,2610593964,716999
Ed Sheeran,Perfect,2272860065,1088841
Dua Lipa,New Rules,2015037370,764685
"Natti Natasha, Ozuna",Criminal,1954542564,627432
"Luis Fonsi, Demi Lovato",Échame La Culpa,1950673867,340073
The Chainsmokers & Coldplay,Something Just Like This,1764294841,518292
"Becky G, Bad Bunny",Mayores,1763232554,449953
Camila Cabello,Havana,1658240193,254552
Bruno Mars,That’s What I Like,1624927565,323704
Maluma,Felices los 4,1575911133,196893
Piso 21,Déjala Que Vuelva,1475779210,356728
Maluma,Corazón,1441073191,185667
Jason Derulo,Swalla,1424247389,360810
MC Fioti,Bum Bum Tam Tam (KondZilla),1404118310,616408
Imagine Dragons,Thunder,1389690129,584815
Una Lady Como Tú,MTZ Manuel Turizo,1364849607,276644
DJ Khaled,I'm The One,1351663373,337056
Imagine Dragons,Believer,1351608966,984537
"Carlos Vives, Sebastian Yatra",Robarte un Beso,1295552930,210735
ZAYN,Dusk Till Dawn ft. Sia,1291487591,363236
El Amante,Nicky Jam,1268214395,166461
Wisin,Escápate Conmigo,1246492972,214729
Ozuna,Se Preparó,1238953073,332078
Enrique Iglesias,SUBEME LA RADIO,1210515481,187915
Chris Jeday,"Ahora Dice ft. J. Balvin, Ozuna, Arcángel",1197338298,100164
Post Malone,Congratulations ft. Quavo,1156032203,318618
Sam Smith,Too Good At Goodbyes,1147572619,256181
Taylor Swift,Look What You Made Me Do,1126719243,274534
Charlie Puth,Attention,1067041027,305471
French Montana,Unforgettable,1048005606,272660
Lil Pump,Gucci Gang,1013090875,306336
Ozuna,Síguelo Bailando,924456461,138344
BTS,DNA,916570403,580534
Clean Bandit,Symphony,904399348,236980
J Balvin,Si Tu Novio Te Deja Sola,903252531,105074
Christian Nodal,Adiós Amor,887353812,297938
Ed Sheeran,Shape Of You,876413179,133195
Guru Randhawa,High Rated Gabru,876110765,455475
DJ Khaled,Wild Thoughts,873647193,226050
Ozuna,El Farsante,872473315,105698
Bebe Rexha,Meant to Be,870002927,217869
Shawn Mendes,There's Nothing Holdin' Me Back,866958393,214235
Camila Cabello,Havana,862927484,297473
Katy Perry,Bon Appétit,855740243,449555
Cardi B,Bodak Yellow,851880448,257691
Guru Randhawa,Lahore Bhushan Kumar,821473212,345621
Wolfine,Bella,814611715,212531
'Vishal Dadlani, Neha Bhasin',Swag Se Swagat,807472286,210509
Ozuna,Tu Foto,797160942,121980
Karol G & Bad Bunny,Ahora Me Llama,780706779,213104
"Nacho, Yandel, Bad Bunny",Báilame,771131029,123359
Shakira,Perro Fiel,757227665,178078
Bad Bunny X Prince Royce X J Balvin X Dj Luian X Mambo Kingz,Sensualidad,742311928,149460
BLACKPINK,마지막처럼 (AS IF IT'S YOUR LAST),740009289,382965
Ayo & Teo,Rolex,737356125,214269
Alan Walker,The Spectre,717359503,397781
Shakira,Me Enamoré,709872062,143175
"Farruko, Bad Bunny, Rvssian",Krippy Kush,701899124,72198
Kendrick Lamar,HUMBLE.,695511165,219814
BANDA MS,EL COLOR DE TUS OJOS,688553819,260719
Daddy Yankee ft Ozuna,La Rompe Corazones,687205865,10039
Esperándote,MTZ Manuel Turizo,671984619,143561
Imagine Dragons,Whatever It Takes,664419562,195817
Simone & Simaria,Loka (Ao Vivo) ft. Anitta,657636504,68163
"Luis Fonsi, Daddy Yankee",Despacito (Remix) ft. Justin Bieber,651503597,23183
The Weeknd,I Feel It Coming ft. Daft Punk,651438335,303879
Sean Paul,No Lie,651125533,265552
Jonas Blue,Mama ft. William Singe,645713832,69681
Balti,Ya Lili feat. Hamouda,644606958,171552
Khalid,Young Dumb & Broke,639996252,137623
"Dev Negi, Neha Kakkar, Monali Thakur, Ikka",Badri Ki Dulhania (Title Track),637140502,257231
"Silvestre Dangond, Nicky Jam",Cásate Conmigo,633949279,116448
Katy Perry,Chained To The Rhythm,620215242,111531
BTS,MIC Drop (Steve Aoki Remix),617082080,421535
Udit Narayan & Neha Kakkar,Cheez Badi,615235255,377476
Altamash Faridi,Jaha Tum Rahoge,613878651,320642
Post Malone,rockstar ft. 21 Savage,612766377,381987
Atif Aslam,Dil Diyan Gallan,599027168,215027
"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual,599002392,113939
Katy Perry,Swish Swish,582003203,113182
Harry Styles,Sign of the Times,581696955,230422
Daddy Yankee & Bad Bunny,Vuelve,577983301,186449
"ZAYN, Taylor Swift",I Don’t Wanna Live Forever (Fifty Shades Darker),577610536,90865
L'Algérino,Les Menottes (Tching Tchang Tchong),567925745,201967
MC Kevinho,O Grave Bater,555842259,146292
Charlie Puth,How Long,550321964,126453
Arcangel,Me Acostumbre,549509104,160109
3 Daqat,Abu,536484508,226017
Martin Garrix & Dua Lipa,Scared To Be Lonely,527965424,178564
"Migos, Nicki Minaj, Cardi B",MotorSport,524830970,136177
Kygo & Selena Gomez,It Ain't Me,520165211,50476
Greeicy ft Mike Bahía,Amantes,519745271,161612
Calvin Harris,Feels,519681299,88087
Daddy Yankee ft Ozuna,La Rompe Corazones,506092815,225960
"Alex Sensation, Ozuna",Que Va,505169397,85766
Gusttavo Lima,Apelido Carinhoso,496919790,91256
Melendi,Destino o Casualidad,494782849,373769
Mithoon,Phir Bhi Tumko Chaahunga,491319651,299877
