Video,Views,Current avg/day
Luis Fonsi - Despacito ft. Daddy Yankee,6619234392,918947
Ed Sheeran - Shape of You [Official Video],4606916085,1627910
"J Balvin, Willy William - Mi Gente (Official Video)",2610593964,716999
Ed Sheeran - Perfect (Official Music Video),2272860065,1088841
Dua Lipa - New Rules (Official Music Video),2015037370,764685
Natti Natasha ❌ Ozuna - Criminal [Official Video],1954542564,627432
"Luis Fonsi, Demi Lovato - Échame La Culpa (Video Oficial)",1950673867,340073
The Chainsmokers & Coldplay - Something Just Like This (Lyric),1764294841,518292
"Becky G, Bad Bunny - Mayores (Official Video)",1763232554,449953
Camila Cabello - Havana (Official Audio) ft. Young Thug,1658240193,254552
Bruno Mars - That’s What I Like (Official Video),1624927565,323704
Maluma - Felices los 4 (Official Video),1575911133,196893
Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],1475779210,356728
Maluma - Corazón (Official Video) ft. Nego do Borel,1441073191,185667
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) (Official Music Video),1424247389,360810
MC Fioti - Bum Bum Tam Tam (KondZilla),1404118310,616408
Imagine Dragons - Thunder,1389690129,584815
Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,1364849607,276644
"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne (Official Video)",1351663373,337056
Imagine Dragons - Believer,1351608966,984537
"Carlos Vives, Sebastian Yatra - Robarte un Beso (Official Video)",1295552930,210735
ZAYN - Dusk Till Dawn ft. Sia (Official Music Video),1291487591,363236
El Amante - Nicky Jam (Video Oficial) (Álbum Fénix),1268214395,166461
Wisin - Escápate Conmigo (Official Video) ft. Ozuna,1246492972,214729
Ozuna - Se Preparó (Video Oficial) | Odisea,1238953073,332078
"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",1210515481,187915
"Chris Jeday - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",1197338298,100164
Post Malone - Congratulations ft. Quavo,1156032203,318618
Sam Smith - Too Good At Goodbyes (Official Video),1147572619,256181
Taylor Swift - Look What You Made Me Do,1126719243,274534
Charlie Puth - Attention [Official Video],1067041027,305471
French Montana - Unforgettable ft. Swae Lee (Official Music Video),1048005606,272660
"Lil Pump - ""Gucci Gang"" (Official Music Video)",1013090875,306336
Ozuna - Síguelo Bailando (Video Oficial),924456461,138344
BTS (방탄소년단) 'DNA' Official MV,916570403,580534
Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],904399348,236980
J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),903252531,105074
Christian Nodal - Adiós Amor (Video Oficial),887353812,297938
Ed Sheeran - Shape Of You [Official Lyric Video],876413179,133195
Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | T-Series,876110765,455475
"DJ Khaled ft. Rihanna, Bryson Tiller - Wild Thoughts (Official Video)",873647193,226050
Ozuna - El Farsante (Audio Oficial) | Odisea,872473315,105698
Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],870002927,217869
Shawn Mendes - There's Nothing Holdin' Me Back,866958393,214235
Camila Cabello - Havana (Official Music VIdeo) ft. Young Thug,862927484,297473
Katy Perry - Bon Appétit (Official) ft. Migos,855740243,449555
Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO],851880448,257691
Guru Randhawa: Lahore (Official Video) Bhushan Kumar | Vee | DirectorGifty | T-Series,821473212,345621
"Bella, Wolfine - Video Oficial",814611715,212531
"Swag Se Swagat | Song | Tiger Zinda Hai | Salman Khan, Katrina Kaif | Vishal & Shekhar, Irshad, Neha",807472286,210509
Ozuna - Tu Foto (Video Oficial) | Odisea,797160942,121980
Karol G & Bad Bunny - Ahora Me Llama,780706779,213104
"Nacho, Yandel, Bad Bunny - Báilame (Remix)",771131029,123359
Shakira - Perro Fiel (Official Video) ft. Nicky Jam,757227665,178078
Sensualidad - Bad Bunny X Prince Royce X J Balvin X Dj Luian X Mambo Kingz,742311928,149460
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,740009289,382965
Ayo & Teo - Rolex (Official Music Video),737356125,214269
Alan Walker - The Spectre,717359503,397781
Shakira - Me Enamoré (Official Video),709872062,143175
"Farruko, Bad Bunny, Rvssian - Krippy Kush (Official Video)",701899124,72198
Kendrick Lamar - HUMBLE.,695511165,219814
BANDA MS - EL COLOR DE TUS OJOS (VIDEO OFICIAL),688553819,260719
Daddy Yankee ft Ozuna - La Rompe Corazones (Video Lyric Oficial),687205865,10039
Esperándote - MTZ Manuel Turizo | Video Oficial,671984619,143561
Imagine Dragons - Whatever It Takes,664419562,195817
Simone & Simaria - Loka (Ao Vivo) ft. Anitta,657636504,68163
"Luis Fonsi, Daddy Yankee - Despacito (Remix) (Official Audio) ft. Justin Bieber",651503597,23183
The Weeknd - I Feel It Coming ft. Daft Punk,651438335,303879
Sean Paul - No Lie ft. Dua Lipa,651125533,265552
Jonas Blue - Mama ft. William Singe,645713832,69681
Balti - Ya Lili feat. Hamouda (Official Music Video),644606958,171552
Khalid - Young Dumb & Broke (Official Music Video),639996252,137623
"Badri Ki Dulhania (Title Track) Varun, Alia, Tanishk, Neha, Monali, Ikka | ""Badrinath Ki Dulhania",637140502,257231
"Silvestre Dangond, Nicky Jam - Cásate Conmigo (Official Video)",633949279,116448
Katy Perry - Chained To The Rhythm (Official) ft. Skip Marley,620215242,111531
BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,617082080,421535
Cheez Badi Full Video | Machine | Mustafa & Kiara Advani | Udit Narayan & Neha Kakkar | T-Series,615235255,377476
Jaha Tum Rahoge | Maheruh | Amit Dolawat & Drisha More | Altamash Faridi | Kalyan Bhardhan,613878651,320642
Post Malone - rockstar ft. 21 Savage,612766377,381987
"Dil Diyan Gallan Song | Tiger Zinda Hai | Salman Khan, Katrina Kaif | Atif, Vishal & Shekhar, Irshad",599027168,215027
"Romeo Santos, Daddy Yankee, Nicky Jam - Bella y Sensual (Official Video)",599002392,113939
Katy Perry - Swish Swish (Official) ft. Nicki Minaj,582003203,113182
Harry Styles - Sign of the Times (Video),581696955,230422
Daddy Yankee & Bad Bunny - Vuelve (Video Oficial),577983301,186449
"ZAYN, Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)",577610536,90865
L'Algérino - Les Menottes (Tching Tchang Tchong),567925745,201967
MC Kevinho - O Grave Bater - [Trilha Sintonia Soundtrack] (KondZilla),555842259,146292
"Charlie Puth - ""How Long"" [Official Video]",550321964,126453
Arcangel - Me Acostumbre ft. Bad Bunny [Official Video],549509104,160109
3 Daqat - Abu Ft. Yousra ثلاث دقات - أبو و يسرا,536484508,226017
Martin Garrix & Dua Lipa - Scared To Be Lonely (Official Video),527965424,178564
"Migos, Nicki Minaj, Cardi B - MotorSport (Official Video)",524830970,136177
Kygo & Selena Gomez - It Ain't Me (Audio),520165211,50476
Greeicy ft Mike Bahía - Amantes (Video Oficial),519745271,161612
"Calvin Harris - Feels (Official Video) ft. Pharrell Williams, Katy Perry, Big Sean",519681299,88087
Daddy Yankee ft Ozuna - La Rompe Corazones (Video Oficial),506092815,225960
"Alex Sensation, Ozuna - Que Va",505169397,85766
Gusttavo Lima - Apelido Carinhoso - DVD Buteco do Gusttavo Lima 2 (Vídeo Oficial),496919790,91256
Melendi - Destino o Casualidad ft. Ha*Ash (Official Music Video),494782849,373769
"Phir Bhi Tumko Chaahunga - Full Song | Arijit Singh | Arjun K & Shraddha K | Mithoon , Manoj M",491319651,299877
