Video,Views,Current avg/day
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),2570550446,1101199
"Te Bote Remix - Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",2050605086,944166
El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],1878423460,3037045
"Pedro Capó, Farruko - Calma (Remix - Official Video)",1810244824,1066279
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,1796738734,409418
"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",1695138011,820148
"Becky G, Natti Natasha - Sin Pijama (Official Video)",1649933086,584263
Daddy Yankee - Dura (Video Oficial),1526170898,545659
Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),1369763977,364915
Drake - God's Plan,1096591976,399772
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",1072524874,458801
BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,1066073946,699877
"Thalía, Natti Natasha - No Me Acuerdo (Video Oficial)",1065331285,405089
"Laung Laachi Title Song Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Movie 2018",1023913472,467637
BEBE - 6ix9ine Ft. Anuel AA (Prod. By Ronny J) (Official Music Video),999208040,613485
Bad Bunny feat. Drake - Mia ( Video Oficial ),982209103,395468
"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",947708012,988319
Vaina Loca - Ozuna x Manuel Turizo (Video Oficial),932590242,200513
Tyga - Taste (Official Video) ft. Offset,906921344,497611
"Reik - Me Niego ft. Ozuna, Wisin",880413937,201736
Ariana Grande - no tears left to cry,878291485,256024
XXXTENTACION - SAD!,871286882,369507
Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),853608162,784029
"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",811893706,283294
"KAROL G, Anuel AA - Culpables",796972726,322214
"Lady Gaga, Bradley Cooper - Shallow (A Star Is Born)",787650212,532411
"Alex Rose - Toda (Remix) Ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro (Video Oficial)",767732184,701510
Bad Bunny - Amorfoda | Video Oficial,754526571,237200
Sebastián Yatra - No Hay Nadie Más,736431298,216314
"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi,Neha Kakkar, Kumar Sanu",732411503,636995
Clean Bandit - Solo (feat. Demi Lovato) [Official Video],726770274,289268
Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video),716704265,368736
Post Malone - Psycho ft. Ty Dolla $ign,715075008,283135
"Sebastián Yatra, Mau y Ricky - Ya No Tiene Novio",714868129,376243
Paulo Londra - Adan y Eva (Official Video),701485777,457959
"SIMMBA: Aankh Marey | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika, Neha Kakkar, Kumar Sanu",700717325,407724
Zé Neto e Cristiano - LARGADO ÀS TRAÇAS - Zé Neto e Cristiano Acústico,697216045,261750
"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",692511592,551102
Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,684289109,294454
BTS (방탄소년단) 'FAKE LOVE' Official MV,646482734,428911
Marshmello & Anne-Marie - FRIENDS (Music Video) *OFFICIAL FRIENDZONE ANTHEM*,645576394,462599
Dynoro & Gigi D’Agostino - In My Mind,642963348,387542
"J. Balvin, Zion & Lennox - No Es Justo (Official Video)",639905098,100063
Childish Gambino - This Is America (Official Video),637911886,201271
Bruno Mars - Finesse (Remix) (feat. Cardi B] [Official Video],634507819,163155
KAROL G - Mi Cama,632758448,236089
"Mau y Ricky, Manuel Turizo, Camilo - Desconocidos (Official Video)",631876097,211214
