Video,Views,Current avg/day
Lana Del Rey - Summertime Sadness,314412210,116656
Disclosure - Latch feat. Sam Smith (Official Video),308540938,83548
Avicii vs Nicky Romero - I Could Be The One (Nicktim),304220826,56904
Tujh Mein Rab Dikhta Hai - Full Song | Rab Ne Bana Di Jodi | Shah Rukh Khan | Anushka Sharma,302455984,596285
ไกลแค่ไหน คือ ใกล้ - getsunova (Official Audio),302063977,36540
Zion and Ken-Y - More Ft. Jory (La Formula) [Official Video],294536881,54233
Alicia Keys - Girl on Fire,291653427,82940
will.i.am - This Is Love ft. Eva Simons (Official Music Video),291341781,17230
Calvin Harris - Sweet Nothing (Official Video) ft. Florence Welch,290528954,54841
Of Monsters And Men - Little Talks (Official Video),282403871,45022
Jesse & Joy - La De La Mala Suerte (Video Oficial),281915749,68546
Jay-Z & Kanye West - Ni**as In Paris (Explicit),277402490,79704
Don Omar - Zumba Campaign Video,276193316,58452
Lana Del Rey - Blue Jeans (Official Music Video),270019330,49368
Ricardo Montaner - La Gloria de Dios (Video Oficial) ft. Evaluna Montaner,268357073,98668
PULCINO PIO - Il Pulcino Pio (Official video),265513749,46887
Río Roma - Me Cambiaste la Vida (Videoclip),265164297,106628
Chris Brown - Turn Up the Music,263956051,30335
Cher Lloyd - Want U Back (US Version) (Official Music Video),259414097,23520
BURN IT DOWN (Official Video) - Linkin Park,257567502,115045
Labrinth - Beneath Your Beautiful ft. Emeli Sandé (Official Video),253456495,48321
Don Omar - Dutty Love (Lyric Video) ft. Natti Natasha,253414593,100258
Jennifer Lopez - Goin' In ft. Flo Rida,248647846,31071
DIE ANTWOORD - BABY'S ON FIRE (OFFICIAL),248188330,44600
Nicki Minaj - Pound The Alarm (Explicit),241939375,26563
"Miley Cyrus - The Backyard Sessions - ""Jolene",241358320,100653
Arctic Monkeys - R U Mine? (Official Video),238545423,49273
Shakira - Addicted to You (Video Oficial),238414734,54086
Coldplay - Princess Of China ft. Rihanna,237545071,40589
Tom Odell - Another Love (Official Video),237331739,68643
R.I.O. feat. Nicco - Party Shaker (Official Video HD),237109427,25505
Patati Patatá - Superfantástico (DVD Coletânea de Sucessos),228465876,73950
Crystallize - Lindsey Stirling (Dubstep Violin Original Song),225484792,41787
Solitaria - Alkilados Ft. Dalmata (Video Oficial),223845665,32287
Canserbero - Jeremías 17:5 (Video Oficial),220612797,140864
"A$AP ROCKY - F**kin' Problems ft. Drake, 2 Chainz, Kendrick Lamar",220252903,52109
MACKLEMORE & RYAN LEWIS - SAME LOVE feat. MARY LAMBERT (OFFICIAL VIDEO),219231358,27549
Romeo Santos - Rival (Official Video) ft. Mario Domm,218807348,38518
Patati Patatá - Piuí Abacaxi (DVD Coletânea de Sucessos),217921946,147640
