Video,Views,Current avg/day
PSY - GANGNAM STYLE(강남스타일) M/V,3506559443,624026
Passenger | Let Her Go (Official Video),2618679687,836628
Rihanna - Diamonds,1446698593,392432
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),1388811123,272989
PULCINO PIO - El Pollito Pio (Official video),1297086742,191607
Carly Rae Jepsen - Call Me Maybe,1247335762,204819
Imagine Dragons - Radioactive,1121670221,241647
Daddy Yankee - Limbo (Video Oficial),955609161,260283
Katy Perry - Wide Awake (Official),910761416,77102
Justin Bieber - Beauty And A Beat ft. Nicki Minaj (Official Music Video),905895522,86102
Maroon 5 - One More Night (Official Music Video),855624532,116577
Ricardo Arjona - Fuiste tú feat. Gaby Moreno (Video Oficial),808286977,228344
Katy Perry - Part Of Me (Official),795091371,177022
Justin Bieber - Boyfriend (Official Music Video),779451620,110609
SKRILLEX - Bangarang feat. Sirah [Official Music Video],773836789,246059
will.i.am - Scream & Shout ft. Britney Spears (Official Music Video),765127023,115148
PSY (ft. HYUNA) - 오빤 딱 내 스타일 M/V,756211995,61890
AC/DC - Thunderstruck (Official Video),689412470,327609
Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video),664230317,121871
One Direction - One Thing,635454726,86125
One Direction - Live While We're Young,633299146,81860
Ed Sheeran - Give Me Love [Official Video],601632559,108816
Lil Wayne - Mirror ft. Bruno Mars,600403489,95389
Taylor Swift - We Are Never Ever Getting Back Together,598083732,104778
Bruno Mars - Locked Out Of Heaven (Official Video),586029026,176128
AC/DC - Back In Black (Official Video),584242838,249780
Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video),554485075,176951
Wisin & Yandel - Follow The Leader ft. Jennifer Lopez,540242413,43906
David Guetta - She Wolf (Falling To Pieces) ft. Sia (Official Video),531854836,38847
CantaJuego - Soy Una Taza (Version Mexico),495567435,252072
LMFAO - Sorry For Party Rocking,491422449,81818
Jennifer Lopez ft. Pitbull - Dance Again (Official Video),488383358,141278
"Wisin & Yandel - Algo Me Gusta De Ti ft. Chris Brown, T-Pain",484497745,94617
Flo Rida - Wild Ones ft. Sia [Official Video],478576224,131162
Flo Rida - Whistle [Official Video],473740479,51535
Rihanna - Where Have You Been,460821803,82391
J Balvin - Tranquila (Official Video),446280002,61956
Imagine Dragons - It's Time,443073625,98436
Justin Bieber - As Long As You Love Me ft. Big Sean (Official Music Video),442841035,48559
Taylor Swift - I Knew You Were Trouble,442495659,63935
"Skrillex & Damian ""Jr. Gong"" Marley - Make It Bun Dem [OFFICIAL VIDEO]",436564590,176743
BIGBANG - FANTASTIC BABY M/V,428175856,106434
Nicky Romero - Toulouse,427745728,55610
The Script - Hall of Fame (Official Video) ft. will.i.am,424090996,86492
CASTLE OF GLASS (Official Video) - Linkin Park,417219224,154620
P!nk - Try (Official Music Video),416161462,102819
Nicki Minaj - Right By My Side (Explicit) ft. Chris Brown,409630701,46930
Demi Lovato - Give Your Heart a Break (Official Video),385782891,70247
Adele - Skyfall (Lyric Video),382838169,84215
Metallica: Enter Sandman (Official Music Video),375662622,175138
Romeo Santos - La Diabla/Mi Santa ft. Tomatito,373089318,211384
Reik - Creo en Ti,367882470,79655
Nicki Minaj - Starships (Explicit),360945026,61318
David Guetta - Turn Me On ft. Nicki Minaj (Official Video),352322217,51272
Tom and Angela - You Get Me (from Talking Friends),350324151,10265
Owl City & Carly Rae Jepsen - Good Time (Official Video),349984930,50456
Arcangel - Me Prefieres a Mi [Official Video],340925745,99368
Patati Patatá - Comer Comer (DVD Coletânea de Sucessos),334699762,359420
Reik - Te Fuiste de Aquí (Video Oficial),326287001,81828
One Direction - Little Things,325143414,46543
Drake - Take Care ft. Rihanna,323750564,66844
