artist,title,views,current avg/day
Maroon 5,Girls Like You,2570550446,1101199
Flow La Movie,Te Bote Remix,2050605086,944166
El Chombo,Dame Tu Cosita,1878423460,3037045
"Pedro Capó, Farruko",Calma,1810244824,1066279
Nicky Jam x J. Balvin,X (EQUIS),1796738734,409418
DJ Snake,"Taki Taki ft. Selena Gomez, Ozuna, Cardi B",1695138011,820148
"Becky G, Natti Natasha",Sin Pijama,1649933086,584263
Daddy Yankee,Dura,1526170898,545659
Ozuna x Romeo Santos,El Farsante (Remix),1369763977,364915
Drake,God's Plan,1096591976,399772
"Cardi B, Bad Bunny & J Balvin",I Like It,1072524874,458801
BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU),1066073946,699877
"Thalía, Natti Natasha",No Me Acuerdo,1065331285,405089
Mannat Noor,Laung Laachi,1023913472,467637
BEBE,6ix9ine,999208040,613485
Bad Bunny feat. Drake,Mia ( ),982209103,395468
"Post Malone, Swae Lee",Sunflower (Spider-Man: Into the Spider-Verse),947708012,988319
Vaina Loca,Ozuna x Manuel Turizo,932590242,200513
Tyga,Taste ft. Offset,906921344,497611
Reik,"Me Niego ft. Ozuna, Wisin",880413937,201736
Ariana Grande,no tears left to cry,878291485,256024
XXXTENTACION,SAD!,871286882,369507
Los Ángeles Azules,Nunca Es Suficiente ft. Natalia Lafourcade,853608162,784029
"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,811893706,283294
"KAROL G, Anuel AA",Culpables,796972726,322214
"Lady Gaga, Bradley Cooper",Shallow (A Star Is Born),787650212,532411
Alex Rose,"Toda (Remix) Ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro",767732184,701510
Bad Bunny,Amorfoda,754526571,237200
Sebastián Yatra,No Hay Nadie Más,736431298,216314
"Neha Kakkar, Mika Singh And Kumar Sanu",Aankh Marey,732411503,636995
Clean Bandit,Solo (feat. Demi Lovato),726770274,289268
Paulo Londra ft Lenny Tavarez,Nena Maldicion,716704265,368736
Post Malone,Psycho ft. Ty Dolla $ign,715075008,283135
"Sebastián Yatra, Mau y Ricky",Ya No Tiene Novio,714868129,376243
Paulo Londra,Adan y Eva,701485777,457959
Zé Neto e Cristiano,LARGADO ÀS TRAÇAS,697216045,261750
"Neha Kakkar, Dhvani Bhanushali, Ikka",DILBAR,692511592,551102
Marshmello & Anne-Marie,FRIENDS,684289109,294454
BTS,FAKE LOVE,646482734,428911
Dynoro & Gigi D’Agostino,In My Mind,642963348,387542
"J. Balvin, Zion & Lennox",No Es Justo,639905098,100063
Childish Gambino,This Is America,637911886,201271
Bruno Mars,Finesse (Remix),634507819,163155
KAROL G,Mi Cama,632758448,236089
"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,631876097,211214
"David Guetta, Bebe Rexha & J Balvin",Say My Name,630816151,379804
Amor de Verdade,MC Kekel e MC Rita (KondZilla),630071701,150949
Anuel AA,Ella Quiere Beber (Remix) ft. Romeo Santos,624445784,181878
"Calvin Harris, Dua Lipa",One Kiss,621035708,204172
"Jassi Gill, Neha Kakkar",Nikle Currant,618345797,427499
Piso 21 ft. Paulo Londra,Te Amo,612979031,210070
BTS,IDOL,611874810,475896
"Becky G, Paulo Londra",Cuando Te Besé,606945372,187167
XXXTENTACION,changes,589214277,310560
Lil Dicky,Freaky Friday feat. Chris Brown,579925419,255270
Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",577119528,177236
"Billie Eilish, Khalid",lovely,571247217,1041679
Dua Lipa,IDGAF,569039439,361838
Siti Badriah,Lagi Syantik,567831550,177462
Zé Neto e Cristiano,NOTIFICAÇÃO PREFERIDA,559201550,234212
Culpables,MTZ Manuel Turizo,556376564,187296
"Zack Knight, Jasmin Walia",Bom Diggy Diggy,554686330,603421
Jass Manak,Prada,543576814,203674
Dhvani Bhanushali,Leja Re,540461023,568602
The Weeknd,Call Out My Name,537817856,228282
Ozuna x Bad Bunny x Wisin x Almighty X Dj Luian X Mambo Kingz,Solita,531564804,103415
Kanye West & Lil Pump ft. Adele Givens,I Love It,522450168,206171
米津玄師,Lemon,522020356,416821
Calum Scott,You Are The Reason,516387890,326503
Anuel AA & Haze,Amanece ,513394285,278946
"benny blanco, Halsey & Khalid",Eastside,510639139,220230
Ava Max,Sweet but Psycho,506084378,476934
XXXTENTACION,MOONLIGHT,505752124,532393
Marshmello ft. Bastille,Happier,486499506,872695
Aya Nakamura,Djadja,479411925,289266
La Adictiva,En Peligro De Extinción,478080817,399103
Harrdy Sandhu,Kya Baat Ay,476396758,185640
Ariana Grande,thank u, next,475233683,307374
Guru Randhawa,MADE IN INDIA,473975295,202047
"Silvestre Dangond, Natti Natasha",Justicia,470998574,189259
Billie Eilish,when the party's over,459679613,956068
Lil Pump,ESSKEETIT,457580010,153001
Travis Scott,SICKO MODE ft. Drake,456125765,409501
Fuleragem,MC WM (KondZilla),452292772,154457
Juice WRLD,Lucid Dreams,447811436,514784
Sebastián Yatra,Por Perro,447324039,162416
Khalid,Better,446085122,354334
Marshmello,Happier,444478675,195218
Daddy Yankee & Anuel AA,Adictiva,441512608,182518
Anuel AA,Ella Quiere Beber,435406003,160508
"Reik, Maluma",Amigos Con Derechos,425905644,173695
BANDA MS,TU POSTURA,424439966,364714
Panic! At The Disco,High Hopes,423814410,362043
Alan Walker,Darkside (feat. Au/Ra and Tomine Harket),423799165,320103
Zion & Lennox,La Player (Bandolera),422491970,146395
"Guru Randhawa, Dhvani Bhanushali",ISHARE TERE,420359185,222402
JENNIE,SOLO,417466125,264463
Romeo Santos,Sobredosis,416561072,97761
