artist,title,views,current avg/day
Mark Ronson,Uptown Funk,3769889462,543837
Ed Sheeran,Thinking Out Loud,2903239735,805735
Taylor Swift,Shake It Off,2872685766,319473
Enrique Iglesias,Bailando,2815650665,290806
Katy Perry,Dark Horse,2718114614,650876
Taylor Swift,Blank Space,2548507394,316493
Meghan Trainor,All About That Bass,2348453468,187902
Sia,Chandelier,2195683730,358072
Idina Menzel,Let It Go,1952214165,616511
J. Balvin,Ay Vamos,1655539679,371457
"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,1449189011,340486
Calvin Harris,Summer,1349868062,162553
Sam Smith,I'm Not The Only One,1229659458,265999
Ariana Grande,Problem ft. Iggy Azalea,1200744183,133567
AronChupa,I'm an Albatraoz,1119865698,163619
Shakira,La La La,1085053923,198960
J Balvin,6 AM,1038596781,126578
Ariana Grande,Break Free,1032986520,115901
Sam Smith,Stay With Me,1024421628,147802
Shakira,Can't Remember to Forget You,1013983734,229276
Travesuras,Nicky Jam,987776275,117211
Enrique Iglesias,El Perdedor,959449754,191323
Iggy Azalea,Fancy,956874766,110472
Chris Brown,Loyal,949770988,209606
"DJ Snake, Lil Jon",Turn Down for What,935909144,201197
Nicki Minaj,Anaconda,912685505,176475
Los Ángeles Azules,Mis Sentimientos ft. Ximena Sariñana,902039626,267484
David Guetta & Showtek,Bad ft.Vassy,872591709,130705
Romeo Santos,Eres Mía,852257446,206184
Jason Derulo,Wiggle,829715719,52818
Rahat Fateh Ali Khan,Zaroori Tha,827856253,343340
Rae Sremmurd,No Type,778960654,81539
Wisin,Adrenalina,774356111,104214
Tove Lo,Habits (Stay High),756781525,135270
Ha*Ash,'Perdón, Perdón',747942509,160100
Katy Perry,This Is How We Do,729129891,50162
Pitbull ft. Jennifer Lopez & Claudia Leitte,We Are One (Ole Ola),712074011,144285
Calvin Harris,Blame ft. John Newman,684636835,114546
"OSMANI GARCIA Ft. PITBULL, SENSATO, DAYAMI LA MUSA",El Taxi Reggaeton Cubaton,679405728,60962
Fetty Wap,Trap Queen Prod. By Tony Fadd,672764534,105322
Selena Gomez,The Heart Wants What It Wants,662651018,110795
Maroon 5,Animals,636238185,166336
"Ariana Grande, The Weeknd",Love Me Harder,635681838,109803
Bobby Shmurda,Hot N*gga,621211883,202984
"Dillon Francis, DJ Snake",Get Low,618590655,106100
Pharrell Williams,Happy,583507897,381956
Lilly Wood & The Prick and Robin Schulz,Prayer In C (Robin Schulz Remix),579413452,92299
BANDA MS,NO ME PIDAS PERDÓN,577631794,90548
Iggy Azalea,Black Widow ft. Rita Ora,567103175,72852
The Chainsmokers,#SELFIE,566306288,57836
"Dimitri Vegas, Martin Garrix, Like Mike",Tremor,559575741,80319
Coldplay,A Sky Full Of Stars,558050053,275157
Meghan Trainor,Lips Are Movin,555521012,39337
Avicii,The Nights,525149507,198917
Beyoncé,7/11,521731138,90777
Ty Dolla $ign,Or Nah,519175314,199310
Calvin Harris,Outside,516543081,86486
Bole Chudiyan,K3G,512709028,595336
David Guetta,Shot Me Down ft. Skylar Grey,489756777,83217
Plan B,Mi Vecinita,489328026,71173
G-Eazy,I Mean It ft. Remo,478456844,167512
Marc Anthony,Flor Pálida,466415690,168028
Kiesza,Hideaway,461508841,356785
ARIEL CAMACHO,HABLEMOS,461141027,44865
Romeo Santos,Cancioncitas de Amor,453707092,53802
Tyga,Hookah ft. Young Thug,434464337,82700
Rich Gang,Lifestyle,431325820,131302
One Direction,You & I,427790103,93156
Maroon 5,Maps,425008132,58754
Remmy Valenzuela,Mi Princesa,424353720,77298
Nicki Minaj,Only,420683732,88360
Farruko,Passion Whine,408069929,57345
Hussain Al Jassmi,Boshret Kheir,406912664,170772
Alan Walker,Fade,401263915,76804
BANDA MS,HABLAME DE TI,396433705,81127
The Weeknd,Often (NSFW),395060888,81608
Mr. Probz,Waves (Robin Schulz Remix Radio Edit),393576567,89847
Los Ángeles Azules,17 Años ft. Jay De La Cueva,392970775,60042
Robin Schulz,Sun Goes Down feat. Jasmine Thompson,392169619,76234
Becky G,Shower,377371621,72761
Travesuras Remix,"Nicky Jam Ft De La Ghetto, J balvin, Zion y Arcangel",377289118,42605
Charli XCX,Boom Clap,374594442,59237
ห้องนอน,Fridaynight to Sunday,372195880,87746
Plan B,Fanatica Sensual,371314963,47049
Kevin Roldan ft. Maluma Andy Rivera,Salgamos,357126810,45727
OMI,Cheerleader,354760703,6579
Pitbull,Como Yo Le Doy ft. Don Miguelo,353416857,44535
Big Sean,I Don't Fuck With You,349472630,43348
Enrique Iglesias,Bailando,347053381,111603
Jennifer Lopez,Booty,346768512,102807
Hozier,Take Me To Church,346346810,116993
PSY,HANGOVER,338405677,21418
Afrojack & Martin Garrix,Turn Up The Speakers,335388414,53562
Jassi Gill,Bapu Zimidar,333152455,266901
WALK THE MOON,Shut Up and Dance,330678396,52448
August Alsina,No Love,326989810,27519
Kendji Girac,Andalouse,326825233,56894
'Badshah,Aastha',Abhi Toh Party Shuru Hui Hai,326706914,234680
BTS,Boy In Luv,325108337,65785
Thương Lắm Thầy Cô Ơi!,Bé Phan Hiếu Kiên,324559804,165634
