Video,Views,Current avg/day
Shakira - Chantaje (Official Video) ft. Maluma,2494194354,363612
The Chainsmokers - Closer (Lyric) ft. Halsey,2453440262,226726
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],2381619501,676945
Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna,2312363108,299340
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],2272131077,453911
Fifth Harmony - Work from Home ft. Ty Dolla $ign,2238686723,307545
Shawn Mendes - Treat You Better,1879767692,416472
Ariana Grande - Side To Side ft. Nicki Minaj,1699485778,296798
The Weeknd - Starboy (official) ft. Daft Punk,1641706147,382792
Marshmello - Alone (Official Music Video),1602392656,940480
Ricky Martin - Vente Pa' Ca ft. Maluma (Official Music Video),1599676458,171181
CNCO - Reggaetón Lento (Bailemos),1554872738,138790
The Chainsmokers - Don't Let Me Down ft. Daya (Official Music Video),1498569690,338080
Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),1457465593,216191
Sia - Cheap Thrills ft. Sean Paul (Lyric Video),1448112267,303008
22. Hasta el Amanecer - Nicky Jam | Video Oficial,1428050227,107897
Daddy Yankee - Shaky Shaky (Video Oficial),1420149905,317810
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],1386401498,457061
Danny Ocean - Me Rehúso (Official Audio),1371820247,130799
"Carlos Vives, Shakira - La Bicicleta",1364721421,126583
Coldplay - Hymn For The Weekend (Official Video),1243471843,284312
Bruno Mars - 24K Magic (Official Video),1219541974,301579
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),1201964192,244902
Maluma - El Perdedor (Official Music Video),1179651364,65038
"Justin Timberlake - CAN'T STOP THE FEELING! (From DreamWorks Animation's ""Trolls"") (Official Video)",1147838084,423108
James Arthur - Say You Won't Let Go (Official Music Video),1076797711,339212
Rihanna - Work (Explicit) ft. Drake,1072146315,101576
Rag'n'Bone Man - Human (Official Video),1046672921,461145
Alan Walker - Alone,1009506150,450778
MC Kevinho - Olha a Explosão (KondZilla),1005318775,352199
Maluma - Sin Contrato (Official Video),979808709,84138
Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video),977380723,76811
Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),973626357,182118
ZAYN - PILLOWTALK (Official Music Video),952068097,142090
Enrique Iglesias - DUELE EL CORAZON ft. Wisin,951953968,93565
Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video oficial],928891414,282472
"Maluma - Cuatro Babys (Official Video) ft. Trap Capos, Noriel, Bryant Myers, Juhn",907497501,76806
Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],906057220,304738
Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever,877645128,414094
"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",864430590,177104
DJ Snake - Let Me Love You ft. Justin Bieber (Official Video),847517207,181251
JoJo Siwa - BOOMERANG (Official Video),815302409,310226
Thalía - Desde Esa Noche (Premio Lo Nuestro 2016) ft. Maluma,792914788,218869
BLACKPINK - '붐바야'(BOOMBAYAH) M/V,789357479,520898
DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video],784776488,134739
Rae Sremmurd - Black Beatles ft. Gucci Mane (Official Video),774833413,87271
Ariana Grande - Into You,746661152,202587
Ozuna - Te Vas (Video Oficial),726897216,97596
Auli'i Cravalho - How Far I'll Go,722388940,383170
Era Istrefi - Bonbon (Official Video),720588498,185529
Jennifer Lopez - Ain't Your Mama,718182703,173815
Bad Bunny - Soy Peor (Video oficial),714630470,221740
Farruko - Chillax ft. Ky-Mani Marley (Official Video),697467298,97647
Adexe y Nau - Andas En Mi Cabeza (Chino & Nacho ft. Daddy Yankee Cover),688890797,199706
Ozuna - Dile Que Tu Me Quieres (Video Oficial) | Odisea,687949761,125896
