Video,Views,Current avg/day
Katy Perry - Roar (Official),2998634821,671137
OneRepublic - Counting Stars (Official Music Video),2914072161,500837
Avicii - Wake Me Up (Official Video),1895262289,253120
MAGIC! - Rude (Official Music Video),1782196935,303481
John Legend - All of Me (Edited Video),1605857327,543161
Romeo Santos - Propuesta Indecente (Official Video),1557517802,306619
Ellie Goulding - Burn (Official Video),1389372438,116408
Martin Garrix - Animals (Official Video),1363286217,213407
PSY - GENTLEMAN M/V,1287927668,151180
Pitbull - Timber ft. Ke$ha (Official Video),1175416896,185091
P!nk - Just Give Me A Reason ft. Nate Ruess (Official Music Video),1137191718,275064
Prince Royce - Darte un Beso,1125332578,146116
Pharrell Williams - Happy (Official Music Video),1072093603,77848
Miley Cyrus - Wrecking Ball (Official Video),1060028946,125731
Naughty Boy - La la la ft. Sam Smith (Official Video),1004400116,143982
Eminem - Rap God (Explicit) [Official Video],993223787,464206
"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)",960757304,170772
Arctic Monkeys - Do I Wanna Know? (Official Video),951725335,275393
Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],910426513,178028
Marc Anthony - Vivir Mi Vida (Official Video),881580420,201013
Miley Cyrus - We Can't Stop (Official Video),881347073,62078
Rihanna - Stay ft. Mikky Ekko,860996633,183171
"Mike WiLL Made-It - 23 ft. Miley Cyrus, Wiz Khalifa, Juicy J (Official Music Video)",860338537,138278
Bruno Mars - When I Was Your Man (Official Video),853589177,292545
Lorde - Royals (US Version),795123962,102767
One Direction - Story of My Life,780756185,161823
Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding,773253159,53290
Imagine Dragons - Demons (Official Video),768330273,186274
John Newman - Love Me Again,738078694,189796
MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO),721004299,215714
"Disney's Frozen ""Let It Go"" Sequence Performed by Idina Menzel",687553382,105829
Eminem ft. Rihanna - The Monster (Explicit) [Official Video],680061820,123035
Stromae - Papaoutai (Clip Officiel),678247812,153631
Selena Gomez - Come & Get It,653146342,110721
One Direction - Best Song Ever,650952360,68424
"Robin Thicke - Blurred Lines ft. T.I., Pharrell (Official Music Video)",643767590,108664
Justin Timberlake - Mirrors (Official Music Video),604022768,220904
Indila - Dernière Danse (Clip Officiel),600459707,236898
