artist,title,views,current avg/day
Shakira,Chantaje,2494194354,363612
The Chainsmokers,Closer,2453440262,226726
Charlie Puth,We Don't Talk Anymore,2381619501,676945
Calvin Harris,This Is What You Came For,2312363108,299340
Clean Bandit,Rockabye,2272131077,453911
Fifth Harmony,Work from Home,2238686723,307545
Shawn Mendes,Treat You Better,1879767692,416472
Ariana Grande,Side To Side,1699485778,296798
The Weeknd,Starboy,1641706147,382792
Marshmello,Alone,1602392656,940480
Ricky Martin,Vente Pa' Ca,1599676458,171181
CNCO,Reggaetón Lento (Bailemos),1554872738,138790
The Chainsmokers,Don't Let Me Down,1498569690,338080
Chino y Nacho,Andas En Mi Cabeza,1457465593,216191
Sia,Cheap Thrills,1448112267,303008
Nicky Jam,Hasta el Amanecer,1428050227,107897
Daddy Yankee,Shaky Shaky,1420149905,317810
twenty one pilots,Heathens,1386401498,457061
Danny Ocean,Me Rehúso,1371820247,130799
"Carlos Vives, Shakira",La Bicicleta,1364721421,126583
Coldplay,Hymn For The Weekend,1243471843,284312
Bruno Mars,24K Magic,1219541974,301579
Mike Posner,I Took A Pill In Ibiza,1201964192,244902
Maluma,El Perdedor,1179651364,65038
Justin Timberlake,CAN'T STOP THE FEELING!,1147838084,423108
James Arthur,Say You Won't Let Go,1076797711,339212
Rihanna,Work,1072146315,101576
Rag'n'Bone Man,Human,1046672921,461145
Alan Walker,Alone,1009506150,450778
MC Kevinho,Olha a Explosão (KondZilla),1005318775,352199
Maluma,Sin Contrato,979808709,84138
Major Lazer,Cold Water,977380723,76811
Zion & Lennox ft. J Balvin,Otra Vez,973626357,182118
ZAYN,PILLOWTALK,952068097,142090
Enrique Iglesias,DUELE EL CORAZON ft. Wisin,951953968,93565
Arcangel x Bad Bunny X Dj Luian X Mambo Kingz,Tu No Vive Asi,928891414,282472
Maluma,"Cuatro Babys ft. Trap Capos, Noriel, Bryant Myers, Juhn",907497501,76806
Migos,Bad and Boujee ft Lil Uzi Vert,906057220,304738
Mile Ho Tum,Reprise Version | Neha Kakkar | Tony Kakkar | Fever,877645128,414094
J Balvin,"Safari ft. Pharrell Williams, BIA, Sky",864430590,177104
DJ Snake,Let Me Love You ft. Justin Bieber,847517207,181251
JoJo Siwa,BOOMERANG,815302409,310226
Thalía,Desde Esa Noche,792914788,218869
BLACKPINK,붐바야 (BOOMBAYAH),789357479,520898
DJ Snake ft. Justin Bieber,Let Me Love You,784776488,134739
Rae Sremmurd,Black Beatles ft. Gucci Mane,774833413,87271
Ariana Grande,Into You,746661152,202587
Ozuna,Te Vas,726897216,97596
Auli'i Cravalho,How Far I'll Go,722388940,383170
Era Istrefi,Bonbon,720588498,185529
Jennifer Lopez,Ain't Your Mama,718182703,173815
Bad Bunny,Soy Peor,714630470,221740
Farruko,Chillax ft. Ky-Mani Marley,697467298,97647
Adexe y Nau,Andas En Mi Cabeza (Chino & Nacho ft. Daddy Yankee Cover),688890797,199706
Ozuna,Dile Que Tu Me Quieres,687949761,125896
"Lil Wayne, Wiz Khalifa & Imagine Dragons w/ Logic & Ty Dolla $ign ft X Ambassadors",Sucker for Pain,649468974,182358
Sia,The Greatest,645041578,130428
BTS,FIRE (불타오르네),639780569,134838
Piso 21,Me llamas,637296356,275877
Meet bros,Cham Cham,635746980,583386
Jonas Blue,Perfect Strangers ft. JP Cooper,633881810,106216
Adele,Send My Love (To Your New Lover),630135675,146722
Alvaro Soler,Sofia,617338742,125780
"Amar Arshi, Badshah & Neha Kakka',Kala Chashma,612360787,250875
Shakira,Try Everything,610671655,95810
Kamal Kahlon & Param Singh,Daru Badnaam,609792280,475157
La Ocasión,"De La Ghetto, Arcangel, Ozuna, Anuel Aa, Dj Luian, Mambo Kingz",601127682,180763
CNCO,Quisiera,596244441,34847
Arijit Singh,Nashe Si Chadh Gayi,589574993,146302
Future,Low Life,575463119,180008
Alan Walker,Sing Me To Sleep,571623321,178237
IAmChino,Ay Mi Dios,566416488,41185
Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow",563621222,232186
Meghan Trainor,Me Too,562720132,128014
Justin Bieber,Company,556259574,127539
Dwayne Johnson,You're Welcome,554900033,149452
J Balvin,Bobo,548681443,115678
Desiigner,Panda,547651967,187343
BTS,피 땀 눈물 (Blood Sweat & Tears),538952461,324776
Meghan Trainor,NO,537206081,65280
Galantis,No Money,532244962,149510
Burak Yeter,Tuesday,528789492,114185
Ariana Grande,Dangerous Woman,527928269,150963
Martin Garrix & Bebe Rexha,In The Name Of Love,518252202,220818
NO LO HICE BIEN,Los Plebes del Rancho de Ariel Camacho,514708693,127908
TWICE,TT,502304962,166279
gnash,i hate u, i love u,500559567,221885
Hallelujah,Pentatonix,500002500,198711
Bumbum Granada,MCs Zaac e Jerry (KondZilla),498219115,180473
Maroon 5,Don't Wanna Know,495941581,319876
คำแพง,แซ็ค ชุมแพ,491749218,43192
Marília Mendonça,Eu Sei De Cor,485698759,40895
Selena Gomez,Kill Em With Kindness,474913189,58648
BLACKPINK,불장난 (PLAYING WITH FIRE),474181416,255506
Pawni Pandey,Laila Main Laila,473264494,246424
Emrah Karaduman,Cevapsız Çınlama,472814989,104748
BTS,Save ME,467910748,234201
Sebastián Yatra,Traicionera,462569293,95401
BLACKPINK,휘파람(WHISTLE),456459865,254327
