decade,artist,title
2000s,Nickelback,How You Remind Me
2000s,"Usher, Lil' Jon & Ludacris",Yeah!
2000s,"P Diddy, Usher & Loon",I Need A Girl
2000s,Mary J Blige,Family Affair
2000s,Lifehouse,Hanging By A Moment
2000s,Timbaland & OneRepublic,Apologize
2000s,Mariah Carey,We Belong Together
2000s,Three Doors Down,Kryptonite
2000s,Alicia Keys,Fallin'
2000s,Faith Hill,Breathe
2000s,The Pussycat Dolls,Don't Cha
2000s,Nelly & Kelly Rowland,Dilemma
2000s,OutKast,Hey Ya!
2000s,Train,Drops Of Jupiter (Tell Me)
2000s,Santana & The Product G,Maria Maria
2000s,Snow Patrol,Chasing Cars
2000s,50 Cent,In Da Club
2000s,Eminem,Lose Yourself
2000s,Mario,Let Me Love You
2000s,Faith Hill,The Way You Love Me
2000s,Rihanna & Jay-Z,Umbrella
2000s,Kelly Clarkson,Since U Been Gone
2000s,Creed,With Arms Wide Open
2000s,Jennifer Lopez & Ja Rule,I'm Real
2000s,Maroon 5,This Love
2000s,Kanye West & Jamie Foxx,Gold Digger
2000s,Destiny's Child,Independent Woman
2000s,The Calling,Wherever You Will Go
2000s,Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me
2000s,James Blunt,You're Beautiful
2000s,Enrique Iglesias,Hero
2000s,Joe Thomas,I Wanna Know
2000s,Vanessa Carlton,A Thousand Miles
2000s,Fergie,Big Girls Don't Cry (Personal)
2000s,R Kelly,Ignition
2000s,Aaliyah,Try Again
2000s,Timbaland & Keri Hilson,The Way I Are
2000s,Leona Lewis,Bleeding Love
2000s,Ciara & Petey Pablo,Goodies
2000s,Toni Braxton,He Wasn't Man Enough
2000s,Three Doors Down,Here Without You
2000s,Usher,U Got It Bad
2000s,Sean Paul,Get Busy
2000s,Rob Thomas & Santana,Smooth
2000s,Alicia Keys,No One
2000s,Shakira & Wyclef Jean,Hips Don't Lie
2000s,Madonna,Music
2000s,OutKast,The Way You Move
2000s,Evanescence & Paul McCoy,Bring Me To Life
2000s,Avril Lavigne,Complicated
2000s,Matchbox Twenty,Unwell
2000s,Vertical Horizon,Everything You Want
2000s,Ciara & Missy 'Misdemeanor' Elliot,1-2 Step
2000s,Eve & Gwen Stefani,Let Me Blow Ya Mind
2000s,Daniel Powter,Bad Day
2000s,Linkin Park,In The End
2000s,"Mario Winans, Enya & P Diddy",I Don't Wanna Know
2000s,The Fray,How To Save A Life
2000s,Matchbox Twenty,Bent
2000s,Lady GaGa,Poker Face
2000s,Beyonce & Jay-Z,Crazy In Love
2000s,Gorillaz,Feel Good Inc
2000s,Lil' Jon & The East Side Boyz,Get Low
2000s,Staind,It's Been Awhile
2000s,Ashanti,Foolish
2000s,Coldplay,Viva la vida
2000s,Beyonce,Baby Boy
2000s,Usher,Burn
2000s,Nelly,Hot In Herre
2000s,Green Day,Boulevard Of Broken Dreams
2000s,Destiny's Child,Say My Name
2000s,Alicia Keys,If I Ain't Got You
2000s,Justin Timberlake,SexyBack
2000s,Shaggy,Angel
2000s,Shakira,"Whenever, Wherever"
2000s,Lonestar,Amazed
2000s,Maroon 5,She Will Be Loved
2000s,Chris Brown & Juelz Santana,Run It
2000s,Snoop Dogg & Pharrell Williams,Drop It Like It's Hot
2000s,Nickelback,Someday
2000s,Gnarls Barkley,Crazy
2000s,Dido,White Flag
2000s,Jennifer Lopez & Ja Rule,Ain't It Funny
2000s,The Black Eyed Peas,My Humps
2000s,Gwen Stefani,Hollaback Girl
2000s,Kelly Clarkson,Breakaway
2000s,Hoobastank,The Reason
2000s,Nelly Furtado,Say It Right
2000s,Lifehouse,You & Me
2000s,Dido,Thank You
2000s,Sisqo,Thong Song
2000s,Jason Mraz,I am yours
2000s,Plain White T's,Hey There Delilah
2000s,Matchbox Twenty,If You're Gone
2000s,Flo-Rida & T-Pain,Low
2000s,LeAnn Rimes,Can't Fight The Moonlight
2000s,Kelly Clarkson,Because Of You
2000s,Destiny's Child,Jumpin' Jumpin'
2000s,Gwen Stefani & Akon,The Sweet Escape
2000s,Eminem,Without Me
2000s,Rihanna,Don't Stop The Music
2000s,50 Cent & Olivia,Candy Shop
2000s,"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)
2000s,Pink,Get The Party Started
2000s,Uncle Kracker,Follow Me
2000s,The Black Eyed Peas,Where Is The Love?
2000s,Lenny Kravitz,Again
2000s,Blu Cantrell,Hit 'em Up Style (Oops!)
2000s,Fat Joe & Ashanti,What's Luv?
2000s,Creed,Higher
2000s,Katy Perry,Hot 'n' cold
2000s,Mya,Case Of The Ex (Whatcha Gonna Do)
2000s,Janet Jackson,All For You
2000s,Usher,U Remind Me
2000s,Ja Rule & Ashanti,Always On Time
2000s,Lee Ann Womack,I Hope You Dance
2000s,Lady GaGa & Colby O'Donis,Just Dance
2000s,Puddle of Mudd,Blurry
2000s,Terror Squad,Lean Back
2000s,Katy Perry,I Kissed A Girl
2000s,Chingy,Right Thurr
2000s,Akon,Smack That
2000s,J-Kwon,Tipsy
2000s,Sonique,It Feels So Good
2000s,Pink,There You Go
2000s,OutKast,Ms Jackson
2000s,Beyonce,Irreplaceable
2000s,Three Doors Down,When I'm Gone
2000s,Kylie Minogue,Can't Get You Out Of My Head
2000s,Evanescence,My Immortal
2000s,Usher & Alicia Keys,My Boo
2000s,The Killers,Mr Brightside
2000s,Destiny's Child,Lose My Breath
2000s,Marc Anthony,You Sang To Me
2000s,Nelly & City Spud,Ride Wit Me
2000s,Santana & Michelle Branch,The Game Of Love
2000s,Kevin Lyttle,Turn Me On
2000s,Nelly Furtado & Timbaland,Promiscuous
2000s,Nelly,(Hot S**t) Country Grammar
2000s,Sean Paul,Temperature
2000s,The Black Eyed Peas,Don't Phunk With My Heart
2000s,Missy 'Misdemeanor' Elliott,Work It
2000s,Rihanna,Pon de replay
2000s,Macy Gray,I Try
2000s,Madonna,Hung Up
2000s,"Nelly, P Diddy & Murphy Lee",Shake Ya Tailfeather
2000s,Crazy Town,Butterfly
2000s,Kelly Clarkson,Behind These Hazel Eyes
2000s,Carrie Underwood,Before He Cheats
2000s,Pink,So What
