decade,artist,title
2000s,Jagged Edge & Nelly,Where The Party At
2000s,Soulja Boy,Crank That (Soulja Boy)
2000s,N Sync,"Bye, Bye, Bye"
2000s,Rihanna,Disturbia
2000s,Nickelback,Rockstar
2000s,Cascada,Everytime We Touch
2000s,Janet Jackson,Doesn't Really Matter
2000s,Natasha Bedingfield,Unwritten
2000s,Nickelback,Photograph
2000s,Avril Lavigne,Girlfriend
2000s,Christina Aguilera & Beverly McClellan,Beautiful
2000s,Weezer,Beverly Hills
2000s,Justin Timberlake & T.I.,My Love
2000s,Fall Out Boy,Sugar We're Goin Down
2000s,The Pussycat Dolls & Snoop Dogg,Buttons
2000s,The Black Eyed Peas,I Gotta Feeling
2000s,DJ Sammy & Yanou,Heaven
2000s,Joe Thomas & Mystikal,Stutter
2000s,Ludacris & Shaunna,Stand Up
2000s,Usher,Confessions Part II
2000s,City High,What Would You Do?
2000s,Jennifer Lopez,Love Don't Cost A Thing
2000s,Will Smith,Switch
2000s,Savage Garden,I Knew I Loved You
2000s,Busta Rhymes & Mariah Carey,I Know What You Want
2000s,Eamon,F**k it (I Don't Want You Back)
2000s,Chamillionaire & Krayzie Bone,Ridin'
2000s,Sisqo,Incomplete
2000s,Incubus,Drive
2000s,Duffy,Mercy
2000s,Kanye West,Stronger
2000s,Destiny's Child,Survivor
2000s,N Sync,It's Gonna Be Me
2000s,Timbaland & Nelly Furtado & Justin Timberlake,Give It To Me
2000s,Jennifer Lopez & LL Cool J,All I Have
2000s,Christina Aguilera,What A Girl Wants
2000s,50 Cent,PIMP
2000s,Enya,Only Time
2000s,Mary J Blige,Be Without You
2000s,The Game & 50 Cent,How We Do
2000s,Nelly & Tim McGraw,Over & Over
2000s,Craig David,Fill Me In
2000s,Linkin Park,Numb
2000s,Rob Thomas,Lonely No More
2000s,Pink,Most Girls
2000s,Christina Milian & Samy Deluxe,Dip It Low
2000s,Jennifer Lopez,Jenny From The Block
2000s,Aaliyah,Miss You
2000s,B2K & P Diddy,Bump Bump Bump
2000s,Beyonce & Slim Thug,Check On It
