artist,title,views,current avg/day
LSD,Thunderclouds,1266128,N/A
Robin Schulz,OK,1265046,N/A
Nicky Jam,Travesuras,1262084,N/A
Selena Gomez,Hands To Myself,1260993,N/A
Wisin & Yandel,Algo Me Gusta de Ti,1259595,N/A
Avril Lavigne,What the Hell,1259566,N/A
Khalid,Young Dumb & Broke,1256945,N/A
Selena Gomez,Back to You,1255152,N/A
Shawn Mendes,Mercy,1254573,N/A
Post Malone,Wow.,1251861,N/A
Ricardo Arjona,Fuiste Tú,1246704,N/A
G-Eazy X Bebe Rexha,"Me, Myself & I",1244732,N/A
Disclosure,Latch,1240288,N/A
Jason Derülo,Trumpets,1238307,N/A
Jennifer Lopez,I'm Into You,1234559,N/A
Alex Clare,Too Close,1213118,N/A
Ellie Goulding,On My Mind,1210436,N/A
Calvin Harris,Slide,1209272,N/A
Sam Smith,How Do You Sleep,1208818,N/A
Alan Walker,Sing Me to Sleep,1204108,N/A
Billie Eilish & Khalid,lovely,1201642,N/A
Andreas Gabalier,Hulapalu,1201005,N/A
"Fergie, Q-Tip & GoonRock",A Little Party Never Killed Nobody,1198046,N/A
George Ezra,Paradise,1196316,N/A
The Chainsmokers,#Selfie,1195273,N/A
Duke Dumont,I Got U,1195122,N/A
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,1194625,N/A
Lana Del Rey,Born to Die,1194009,N/A
Jess Glynne,Hold My Hand,1193139,N/A
Nicky Jam & J Balvin,X,1190227,N/A
Inna,Sun Is Up,1189334,N/A
Zara Larsson & MNEK,Never Forget You,1188973,N/A
Beyoncé,Hold Up,1185727,N/A
Taylor Swift,Lover,1181837,N/A
Billie Eilish,bury a friend,1179661,N/A
Linkin Park,BURN IT DOWN,1177210,N/A
Florence + The Machine,Spectrum,1170348,N/A
Deorro & Chris Brown,Five More Hours,1166076,N/A
David Guetta,This One's For You,1166052,N/A
Queen,Don't Stop Me Now,1165535,N/A
Alessia Cara,Scars to Your Beautiful,1165425,N/A
Cobra Starship,You Make Me Feel...,1164586,N/A
Billie Eilish,everything i wanted,1164479,N/A
Galantis,Runaway,1160782,N/A
Kygo & Imagine Dragons,Born to Be Yours,1159093,N/A
Galantis,No Money,1157590,N/A
Guns N' Roses,Sweet Child o' Mine,1155670,N/A
Zhu,Faded,1153451,N/A
Avicii,SOS,1150459,N/A
Take That,The Flood,1146456,N/A
The Black Eyed Peas,Don't Stop the Party,1145689,N/A
Zac Efron & Zendaya,Rewrite the Stars,1142978,N/A
Selena Gomez,The Heart Wants What It Wants,1140010,N/A
Bruno Mars,Versace on the Floor,1139399,N/A
Mohombi,Bumpy Ride,1139089,N/A
Selena Gomez,Same Old Love,1138426,N/A
Shawn Mendes,If I Can't Have You,1138095,N/A
James Blunt,Bonfire Heart,1137751,N/A
Mike Perry,The Ocean,1137705,N/A
Ed Sheeran,Lego House,1134489,N/A
Katy Perry,Swish Swish,1132853,N/A
Little Mix,Secret Love Song,1131375,N/A
Hailee Steinfeld & Grey,Starving,1128667,N/A
One Direction,One Thing,1127839,N/A
Britney Spears,Work Bitch,1125912,N/A
Post Malone,Psycho,1119443,N/A
Chris Stapleton,Tennessee Whiskey,1118290,N/A
Avicii,Without You,1117284,N/A
Taylor Swift,...Ready For It,1116939,N/A
Britney Spears,Hold It Against Me,1114366,N/A
Beyoncé,Best Thing I Never Had,1114250,N/A
Shakira,Try Everything,1112540,N/A
"The Weeknd, Kendrick Lamar",Pray For Me,1110900,N/A
Blanco Brown,The Git Up,1110316,N/A
Carlos Vives,Volví a Nacer,1108035,N/A
Ed Sheeran,Happier,1106637,N/A
Alicia Keys,"Empire State of Mind, Pt. 2",1106511,N/A
Arctic Monkeys,Do I Wanna Know,1105815,N/A
Flo Rida,"I Don't Like It, I Love It",1105627,N/A
Ellie Goulding,Still Falling for You,1105315,N/A
Simple Plan,Summer Paradise,1104331,N/A
Pharrell Williams,Freedom,1099228,N/A
Billie Eilish,when the party's over,1093320,N/A
Eminem,Berzerk,1091903,N/A
Bruno Mars,Count On Me,1090296,N/A
Gente de Zona,La Gozadera,1087906,N/A
Olly Murs,Up,1085351,N/A
The Wanted,Chasing the Sun,1083164,N/A
Triggerfinger,I Follow Rivers,1071662,N/A
Nicki Minaj,Anaconda,1070881,N/A
G-Eazy & Halsey,Him & I,1067790,N/A
X Ambassadors,Renegades,1063420,N/A
LMFAO,Champagne Showers,1062948,N/A
Jax Jones,Breathe,1060919,N/A
Dr. Dre,I Need a Doctor,1057603,N/A
James Morrison,I Won't Let You Go,1056671,N/A
The Weeknd,Blinding Lights,1053328,N/A
Adele,All I Ask,1052170,N/A
James Newton Howard,The Hanging Tree,1052152,N/A
Marlon Roudette,New Age,1049850,N/A
Beyoncé,Love On Top,1048465,N/A
ADELE,Make You Feel My Love,1047476,N/A
Swedish House Mafia,One,1045347,N/A
Enrique Iglesias,Loco,1044981,N/A
Route 94,My Love,1044188,N/A
The Killers,Human,1042549,N/A
Ariana Grande,Dangerous Woman,1040753,N/A
Beyoncé,Formation,1039770,N/A
Tom Odell,Another Love,1037092,N/A
Aloe Blacc,The Man,1033224,N/A
Sam Hunt,Body Like a Back Road,1027011,N/A
Sigma,Nobody to Love,1025385,N/A
Michael Jackson,Hold My Hand,1023741,N/A
Demi Lovato,Sorry Not Sorry,1022202,N/A
Selena Gomez,Lose You to Love Me,1019550,N/A
Florence + The Machine,Dog Days Are Over,1018863,N/A
Jonas Brothers,Only Human,1017324,N/A
Gossip,Heavy Cross,1016565,N/A
Meghan Trainor,Me Too,1012054,N/A
Swedish House Mafia,Greyhound,1007166,N/A
LMFAO,Sorry for Party Rocking,1005715,N/A
Amy Macdonald,This Is the Life,1003946,N/A
J Balvin,Ginza,1003526,N/A
Khaled,C'est la vie,1001666,N/A
NF,Let You Down,1000367,N/A
Macklemore & Ryan Lewis,Downtown,999724,N/A
Bebe Rexha & Florida Georgia Line,Meant to Be,997971,N/A
Nickelback,When We Stand Together,997174,N/A
Jason Derülo,It Girl,996103,N/A
Pitbull & Ne-Yo,Time of Our Lives,995290,N/A
"Kendrick Lamar, SZA",All The Stars,992307,N/A
Major Lazer,Watch Out For This,989329,N/A
Madonna,Give Me All Your Luvin',986866,N/A
Stromae,Formidable,986480,N/A
Starley,Call on Me,984486,N/A
Maroon 5,Cold,982636,N/A
Birdy,Wings,981334,N/A
Chris Brown,Turn Up the Music,978989,N/A
Bad Wolves,Zombie,977888,N/A
Lorde,Green Light,975096,N/A
Selena Gomez,Slow Down,975077,N/A
Freya Ridings,Castles,972744,N/A
Anna Naklab,Supergirl,972335,N/A
Sean Paul,No Lie,967961,N/A
John Legend,Love Me Now,966933,N/A
David Guetta,When Love Takes Over,966503,N/A
Lizzo,Good as Hell,964288,N/A
Pentatonix,Hallelujah,964030,N/A
Nicki Minaj,Pound the Alarm,963767,N/A
Robin Schulz,Headlights,963112,N/A
Niall Horan,This Town,961435,N/A
Adam Levine,Lost Stars,958052,N/A
Fonseca,Eres Mi Sueño,953131,N/A
One Direction,Night Changes,952468,N/A
Rudimental,Feel the Love,952003,N/A
Jason Derülo,The Other Side,948921,N/A
Cheat Codes,No Promises,943570,N/A
Snow Patrol,Called Out In the Dark,942748,N/A
Alejandro Fernández,Hoy Tengo Ganas De Ti,942455,N/A
Sigala,Easy Love,940910,N/A
Ricky Martin,Vente Pa' Ca,939174,N/A
The Script,The Man Who Can't Be Moved,934989,N/A
Sara Bareilles,Brave,934259,N/A
Swedish House Mafia & Tinie Tempah,Miami 2 Ibiza,932624,N/A
Alexis Jordan,Happiness,932192,N/A
Alejandro Sanz,No Me Compares,930345,N/A
Zedd,Stay the Night,929987,N/A
DJ Snake & AlunaGeorge,You Know You Like It,928702,N/A
Mumford & Sons,Little Lion Man,926293,N/A
The White Stripes,Seven Nation Army,926162,N/A
Fetty Wap,Trap Queen,922745,N/A
Katy Perry,Never Really Over,922038,N/A
Queen,We Are the Champions,919392,N/A
Far East Movement,Live My Life,913801,N/A
Don Omar,Hasta Que Salga el Sol,913649,N/A
Alok & Bruno Martini,Hear Me Now,913293,N/A
Kygo & Miguel,Remind Me to Forget,912864,N/A
Adele,Water Under the Bridge,908938,N/A
Lizzo,Truth Hurts,908461,N/A
Alvaro Soler,El Mismo Sol,905218,N/A
Maluma,Felices los 4,904866,N/A
Hurts,Wonderful Life,903956,N/A
Kanye West,All of the Lights,903042,N/A
Lenny Kravitz,The Chamber,902492,N/A
Prince Royce,Darte un Beso,901050,N/A
Ariana Grande,God is a woman,900205,N/A
Jennifer Lopez,Live It Up,899066,N/A
Future,Mask Off,894191,N/A
Taylor Swift,22,893623,N/A
Beyoncé,Sorry,893446,N/A
Christina Perri,"A Thousand Years, Pt. 2",892612,N/A
Maroon 5,She Will Be Loved,891149,N/A
One Direction,Kiss You,887520,N/A
Sia,Alive,886615,N/A
Leona Lewis,Run,885865,N/A
Ed Sheeran,South of the Border,883719,N/A
Drake,Passionfruit,881705,N/A
Muse,Uprising,881514,N/A
Tacabro,Tacatà,879074,N/A
Olly Murs,Heart Skips a Beat,878939,N/A
Dan + Shay & Justin Bieber,"10,000 Hours",878693,N/A
Robin Schulz,Speechless,878198,N/A
Sam Smith,Lay Me Down,877131,N/A
George Ezra,Blame It on Me,875913,N/A
Chris Rea,Driving Home for Christmas,875795,N/A
Bebe Rexha,Meant to Be,875499,N/A
"Ziv Zaifman, Hugh Jackman & Michelle Williams",A Million Dreams,872455,N/A
Daddy Yankee,Dura,872001,N/A
Stromae,Tous les mêmes,870788,N/A
"Alan Walker, Sabrina Carpenter & Farruko",On My Way,868511,N/A
Drake,Nice For What,868116,N/A
Kwabs,Walk,867638,N/A
Bazzi,Mine,866199,N/A
Caro Emerald,A Night Like This,864089,N/A
The Black Eyed Peas & J Balvin,RITMO,862694,N/A
Macklemore,Glorious,862249,N/A
Ariana Grande,Focus,861369,N/A
Selena Gomez,Bad Liar,861052,N/A
Tove Lo,Stay High,856719,N/A
Lady GaGa,Yoü and I,856564,N/A
Cardi B,Bodak Yellow,855379,N/A
Nirvana,Smells Like Teen Spirit,853661,N/A
Calum Scott & Leona Lewis,You Are the Reason,852121,N/A
Avicii,You Make Me,851391,N/A
Madcon,Glow,850821,N/A
Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,849473,N/A
Empire of the Sun,We Are the People,849247,N/A
Sia,Unstoppable,848973,N/A
Calvin Harris,Bounce,848815,N/A
Grace,You Don't Own Me,847578,N/A
CNCO & Little Mix,Reggaetón Lento,847382,N/A
Ne-Yo,Beautiful Monster,847300,N/A
Becky G,Shower,846842,N/A
Zara Larsson,Uncover,846731,N/A
Sam Hunt,Take Your Time,846626,N/A
Whitney Houston,I Will Always Love You,845275,N/A
DAOKO×米津玄師,Uchiagehanabi,844898,N/A
Hebe Tien,A Little Happiness,843562,N/A
Ellie Goulding,How Long Will I Love You,840926,N/A
Omi,Hula Hoop,840478,N/A
Lady Gaga,The Cure,839919,N/A
Muse,Madness,839737,N/A
Coldplay,Yellow,839080,N/A
Madcon,Freaky Like Me,837327,N/A
Avril Lavigne,Head Above Water,837303,N/A
"David Guetta, Bebe Rexha & J Balvin",Say My Name,835580,N/A
Enrique Iglesias,I Like How It Feels,832214,N/A
Post Malone,I Fall Apart,831701,N/A
Tiësto & Dzeko,Jackie Chan,830687,N/A
AC/DC,Highway to Hell,829571,N/A
Avicii,The Days,829038,N/A
OneRepublic,Secrets,828647,N/A
Armin van Buuren,Blah Blah Blah,826197,N/A
Wisin,Adrenalina,823354,N/A
Bastille,Of the Night,822680,N/A
Andreas Bourani,Auf uns,821833,N/A
5 Seconds of Summer,She Looks So Perfect,821785,N/A
Lady GaGa & Beyoncé,Telephone,819638,N/A
Linkin Park,Numb,818574,N/A
Adele,Rumour Has It,818460,N/A
The Weeknd,Call Out My Name,818283,N/A
Cris Cab,Liar Liar,817717,N/A
Franco de Vita,Tan Sólo Tú,817531,N/A
Robbie Williams,Love My Life,817339,N/A
Lil Wayne,Mirror,817043,N/A
Florence + The Machine,Shake It Out,816675,N/A
One Direction,History,816166,N/A
The Black Eyed Peas,Meet Me Halfway,814713,N/A
米津玄師,LOSER,814598,N/A
Lost Frequencies & Zonderling,Crazy,814517,N/A
One Direction,Little Things,814232,N/A
Demi Lovato,Give Your Heart a Break,813144,N/A
David Guetta,Bang My Head,812258,N/A
Michael Bublé,It's a Beautiful Day,811181,N/A
M83,Midnight City,810262,N/A
Martin Garrix,Ocean,810166,N/A
Taio Cruz,Break Your Heart,808982,N/A
Auli'i Cravalho,How Far I'll Go,806994,N/A
Khalid,Talk,805990,N/A
Daft Punk,Lose Yourself to Dance,805806,N/A
Olly Murs,Dear Darlin',805309,N/A
Juice WRLD,Lucid Dreams,803284,N/A
Katy Perry,Rise,802843,N/A
"Meduza, Becky Hill & GOODBOYS",Lose Control,801886,N/A
DJ Antoine,Ma chérie,801530,N/A
Sam Smith,Money On My Mind,801398,N/A
Ke$ha,Take It Off,799290,N/A
Beyoncé,Single Ladies,799218,N/A
NEIKED,Sexual,797943,N/A
Anna Kendrick,Cups,797363,N/A
London Grammar,Strong,795152,N/A
LunchMoney Lewis,Bills,792981,N/A
The Script,For the First Time,792937,N/A
Little Mix,Black Magic,791231,N/A
Justin Timberlake,Not a Bad Thing,789444,N/A
Aerosmith,I Don't Want to Miss a Thing,789006,N/A
G-Eazy & Kehlani,Good Life,787014,N/A
ONE OK ROCK,Wherever You Are,786603,N/A
BTS,Boy With Luv,784761,N/A
XXXTENTACION,Sad,784749,N/A
Oasis,Wonderwall,784391,N/A
BLACKPINK,DDU-DU DDU-DU,782337,N/A
Queen,I Want to Break Free,781622,N/A
Phillip Phillips,Home,781613,N/A
Avril Lavigne,Here's To Never Growing Up,780424,N/A
Tyga,Taste,779588,N/A
Tracy Chapman,Fast Car,779409,N/A
Little Mix,Shout Out to My Ex,778843,N/A
Sia,Never Give Up,777350,N/A
Bon Jovi,It's My Life,776633,N/A
Fall Out Boy,My Songs Know What You Did In the Dark,775763,N/A
Lauv & Troye Sivan,i'm so tired...,774005,N/A
Dan + Shay,Tequila,773712,N/A
Marshmello,Here With Me,773168,N/A
Maître Gims,Est-ce que tu m'aimes,772400,N/A
Machine Gun Kelly & Camila Cabello,Bad Things,771861,N/A
Otto Knows,Million Voices,771801,N/A
Kesha,Praying,770817,N/A
Kygo,Stargazing,769773,N/A
"Skrillex & Damian ""Jr. Gong"" Marley",Make It Bun Dem,768833,N/A
John Lennon,Imagine,768580,N/A
Shakira,Addicted to You,768282,N/A
U2,With or Without You,766941,N/A
Calvin Harris,Let's Go,766018,N/A
MØ,Final Song,765780,N/A
Coldplay,Clocks,765686,N/A
Radiohead,Creep,765535,N/A
Cee Lo Green,Forget You,764620,N/A
Zedd,I Want You to Know,763783,N/A
Louis Tomlinson,Back to You,762564,N/A
Duffy,Mercy,761697,N/A
Rihanna,You Da One,759849,N/A
Robbie Williams & Gary Barlow,Shame,757615,N/A
Alec Benjamin,Let Me Down Slowly,757156,N/A
Flo Rida,Right Round,756920,N/A
Rudimental,Lay It All On Me,755319,N/A
Shakira,La La La,755189,N/A
Coldplay,Christmas Lights,755178,N/A
Wisin & Yandel,Follow The Leader,754207,N/A
Chino & Nacho,Andas En Mi Cabeza,754074,N/A
Brooke Fraser,Something In the Water,753983,N/A
Don Omar,Dutty Love,751981,N/A
Mariah Carey,#Beautiful,751531,N/A
Rita Ora,I Will Never Let You Down,749411,N/A
Lukas Graham,Mama Said,748502,N/A
Travis Scott,SICKO MODE,746659,N/A
Taylor Swift,Delicate,744253,N/A
Danny Ocean,Me Rehúso,742941,N/A
Martin Solveig & GTA,Intoxicated,737352,N/A
Khalid & Normani,Love Lies,734631,N/A
Kelly Clarkson,Heartbeat Song,734372,N/A
Lenka,Everything At Once,734234,N/A
Bad Bunny,MIA,733778,N/A
Enrique Iglesias,Dirty Dancer,733547,N/A
Rudimental,Waiting All Night,732199,N/A
Jeff Buckley,Hallelujah,730619,N/A
The Killers,Mr. Brightside,728645,N/A
André Hazes Jr.,Leef,727349,N/A
Mike Will Made-It,23,727199,N/A
"Kristen Bell, Agatha Lee Monn & Katie Lopez",Do You Want to Build a Snowman,725912,N/A
Keane,Somewhere Only We Know,725577,N/A
Timmy Trumpet & Savage,Freaks,723871,N/A
Kelly Clarkson,Mr. Know It All,723661,N/A
Maroon 5,Misery,723521,N/A
Zara Larsson,Ain't My Fault,723497,N/A
Train,Play That Song,723204,N/A
Family of the Year,Hero,720122,N/A
Chris Brown,Loyal,719725,N/A
Guns N' Roses,November Rain,719172,N/A
Tim Berg,Seek Bromance,717158,N/A
Eliza Doolittle,Pack Up,716119,N/A
Ed Sheeran,Cross Me,715139,N/A
Marshmello & Kane Brown,One Thing Right,713928,N/A
G.R.L.,Ugly Heart,712959,N/A
Mark Forster,Au revoir,711934,N/A
Demi Lovato,Cool for the Summer,711599,N/A
Hailee Steinfeld & BloodPop®,Capital Letters,711307,N/A
Tinie Tempah,Girls Like,709718,N/A
Marlon Roudette,When the Beat Drops Out,708226,N/A
Lloyd,Dedication to My Ex,708129,N/A
"Silk City, Dua Lipa",Electricity,706488,N/A
Amy Winehouse,Back to Black,706397,N/A
Selena Gomez,Kill Em With Kindness,704982,N/A
Big Shaq,Man's Not Hot,704936,N/A
David Guetta,Memories,703184,N/A
Rihanna,Cheers,702303,N/A
Ellie Goulding,Anything Could Happen,701745,N/A
Shakira,Dare,700823,N/A
Tiësto,Red Lights,700491,N/A
Amy Winehouse,Rehab,698977,N/A
John Mayer,New Light,698695,N/A
Far East Movement,Turn Up the Love,698677,N/A
Die Toten Hosen,Tage wie diese,698238,N/A
Alan Walker,The Spectre,693807,N/A
Dawin,Dessert,692574,N/A
