artist,title,views,current avg/day
Lady GaGa,Born This Way,3540801,N/A
Lewis Capaldi,Someone You Loved,3528017,N/A
Post Malone,rockstar,3527755,N/A
Panic! At the Disco,High Hopes,3517675,N/A
Milky Chance,Stolen Dance,3513575,N/A
Icona Pop,I Love It,3506617,N/A
Charlie Puth,Attention,3498520,N/A
Disturbed,The Sound of Silence,3478990,N/A
Rihanna and Kanye West and Paul McCartney,FourFiveSeconds,3443266,N/A
Ariana Grande,Problem,3436239,N/A
Harry Styles,Sign of the Times,3435233,N/A
Ellie Goulding,Burn,3412467,N/A
Taylor Swift,We Are Never Ever Getting Back Together,3398529,N/A
Ed Sheeran,Castle on the Hill,3355714,N/A
Tones and I,Dance Monkey,3355602,N/A
"Calvin Harris, Dua Lipa",One Kiss,3337183,N/A
Jennifer Lopez,Dance Again,3332165,N/A
Coldplay,Magic,3327044,N/A
Flo Rida,Wild Ones,3314031,N/A
Flo Rida,Club Can't Handle Me,3311040,N/A
A Great Big World & Christina Aguilera,Say Something,3300795,N/A
Taio Cruz,Dynamite,3287843,N/A
Usher,DJ Got Us Fallin' In Love,3279881,N/A
Kygo,Firestone,3231765,N/A
Ed Sheeran & Justin Bieber,I Don't Care,3221007,N/A
Mike Posner,I Took a Pill in Ibiza,3208788,N/A
P!nk,What About Us,3202707,N/A
Queen,Bohemian Rhapsody,3198834,N/A
Rihanna,S&M,3183648,N/A
Shawn Mendes,There's Nothing Holdin' Me Back,3174767,N/A
George Ezra,Shotgun,3166891,N/A
Dynoro & Gigi d'Agostino,In My Mind,3159857,N/A
The Script,Hall of Fame,3156439,N/A
Bruno Mars,The Lazy Song,3154239,N/A
Loreen,Euphoria,3138389,N/A
Asaf Avidan & the Mojos,One Day / Reckoning Song,3136057,N/A
twenty one pilots,Heathens,3118759,N/A
"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,3108676,N/A
Portugal. The Man,Feel It Still,3103519,N/A
Snoop Dogg & David Guetta,Sweat,3088890,N/A
Marshmello & Bastille,Happier,3062988,N/A
Martin Solveig,Hello,3061064,N/A
Charlie Puth,We Don’t Talk Anymore,3060800,N/A
Nicky Jam & Enrique Iglesias,El Perdón,3018184,N/A
ZAYN,Dusk Till Dawn,3012945,N/A
Miley Cyrus,We Can't Stop,3006881,N/A
Jessie J,Price Tag,3001795,N/A
Lost Frequencies,Are You With Me,2986181,N/A
Kygo & Selena Gomez,It Ain't Me,2975911,N/A
Nico & Vinz,Am I Wrong,2948389,N/A
Imany,Don't Be So Shy,2941645,N/A
Calvin Harris,Blame,2915965,N/A
Duck Sauce,Barbra Streisand,2914674,N/A
Keala Settle & The Greatest Showman Ensemble,This Is Me,2897076,N/A
Kungs & Cookin' On 3 Burners,This Girl,2895118,N/A
Fifth Harmony,Worth It,2877602,N/A
"Calvin Harris, Sam Smith",Promises,2873654,N/A
Ariana Grande,Break Free,2865261,N/A
Jason Mraz,I'm Yours,2862872,N/A
Metallica,Nothing Else Matters,2855452,N/A
AWOLNATION,Sail,2849032,N/A
Post Malone & Swae Lee,Sunflower,2848340,N/A
James Arthur,Say You Won't Let Go,2846733,N/A
Drake,Hotline Bling,2842552,N/A
Dua Lipa,New Rules,2840418,N/A
Charlie Puth,Marvin Gaye,2835499,N/A
Shawn Mendes,Stitches,2834642,N/A
The Weeknd,Earned It,2819277,N/A
Clean Bandit,Solo,2818753,N/A
Jason Derülo,Talk Dirty,2798737,N/A
Jason Derülo,Want to Want Me,2779414,N/A
Train,Drive By,2770406,N/A
Snoop Dogg & Wiz Khalifa,"Young, Wild & Free",2762810,N/A
Imagine Dragons,Whatever It Takes,2757131,N/A
R. City,Locked Away,2750899,N/A
Lana Del Rey,Young and Beautiful,2738211,N/A
David Guetta,Dangerous,2713883,N/A
Fun.,Some Nights,2712181,N/A
Calvin Harris,Feel So Close,2692150,N/A
Calvin Harris,Feels,2690519,N/A
Rihanna,Work,2681492,N/A
Train,"Hey, Soul Sister",2677104,N/A
Fifth Harmony,Work from Home,2671944,N/A
Idina Menzel,Let It Go,2660197,N/A
Luis Fonsi & Demi Lovato,Échame La Culpa,2646927,N/A
DNCE,Cake By the Ocean,2636400,N/A
The Wanted,Glad You Came,2630505,N/A
Marc Anthony,Vivir Mi Vida,2616191,N/A
Charlie Puth,One Call Away,2612759,N/A
Bruno Mars,Marry You,2611839,N/A
Clean Bandit,Symphony,2607749,N/A
Imagine Dragons,Natural,2604242,N/A
Kygo,Stole the Show,2601232,N/A
Ed Sheeran,Galway Girl,2593837,N/A
WALK THE MOON,Shut Up and Dance,2583822,N/A
Lady Antebellum,Need You Now,2582163,N/A
Michael Jackson & Justin Timberlake,Love Never Felt So Good,2577276,N/A
David Guetta,Where Them Girls At,2567705,N/A
Jason Mraz,I Won't Give Up,2560697,N/A
Enrique Iglesias,DUELE EL CORAZON,2547839,N/A
Sam Smith & Normani,Dancing with a Stranger,2547032,N/A
George Ezra,Budapest,2534211,N/A
Pitbull,International Love,2530572,N/A
David Guetta & Rihanna,Who's That Chick,2526421,N/A
Lady Gaga,Applause,2510311,N/A
Lana Del Rey,Summertime Sadness,2505992,N/A
Lost Frequencies,Reality,2500353,N/A
Maroon 5,Memories,2497481,N/A
Ed Sheeran,Sing,2476173,N/A
Yolanda Be Cool & Dcup,We No Speak Americano,2467667,N/A
Major Lazer,Cold Water,2456974,N/A
Felix Jaehn,Ain't Nobody,2451426,N/A
Calvin Harris,Outside,2443986,N/A
Israel Kamakawiwo'ole,Over the Rainbow,2438046,N/A
David Guetta,She Wolf,2435118,N/A
Maroon 5,Maps,2433698,N/A
Of Monsters and Men,Little Talks,2433204,N/A
ZAYN & Taylor Swift,I Don't Wanna Live Forever,2432599,N/A
Skrillex & Diplo,Where Are Ü Now,2431281,N/A
One Direction,One Way or Another,2422632,N/A
Adele,When We Were Young,2419864,N/A
Selena Gomez & Marshmello,Wolves,2413933,N/A
Bastille,Pompeii,2411032,N/A
Robin Schulz,Sugar,2408262,N/A
Klingande,Jubel,2402329,N/A
Shawn Mendes,Treat You Better,2387680,N/A
Katy Perry,Chained to the Rhythm,2385509,N/A
LP,Lost on You,2374729,N/A
Mark Ronson,Nothing Breaks Like a Heart,2373988,N/A
Shakira,Loca,2365990,N/A
"Cardi B, Bad Bunny & J Balvin",I Like It,2363725,N/A
Maroon 5,Animals,2356973,N/A
Halsey,Without Me,2350112,N/A
Sam Smith,Too Good at Goodbyes,2348775,N/A
Lana Del Rey,Video Games,2348429,N/A
Kelly Clarkson,Stronger,2344542,N/A
PSY,Gentleman,2340222,N/A
Owl City & Carly Rae Jepsen,Good Time,2318250,N/A
David Guetta & Sia,Flames,2308414,N/A
Taylor Swift,Style,2307737,N/A
Ariana Grande,No Tears Left to Cry,2302471,N/A
5 Seconds of Summer,Youngblood,2300068,N/A
Avicii,Addicted To You,2285554,N/A
Aloe Blacc,I Need A Dollar,2285447,N/A
Faul & Wad Ad & Pnau,Changes,2282930,N/A
J Balvin & Willy William,Mi Gente,2276252,N/A
Jonas Brothers,Sucker,2256478,N/A
David Guetta,Play Hard,2256202,N/A
Jason Derülo,Wiggle,2253719,N/A
The Weeknd,The Hills,2246432,N/A
Lady GaGa,The Edge of Glory,2243046,N/A
Pitbull,Back In Time,2239512,N/A
The Black Eyed Peas,Just Can't Get Enough,2229210,N/A
David Guetta,Hey Mama,2226554,N/A
P!nk,Raise Your Glass,2224106,N/A
David Guetta,Shot Me Down,2220690,N/A
Adele,Send My Love,2217120,N/A
Jay-Z,Empire State of Mind,2215049,N/A
Rachel Platten,Fight Song,2211520,N/A
Burak Yeter,Tuesday,2205941,N/A
Calvin Harris,I Need Your Love,2199021,N/A
Marshmello & Anne-Marie,FRIENDS,2197811,N/A
Stromae,Alors on danse,2196074,N/A
Lady GaGa,Alejandro,2195279,N/A
Bruno Mars,That's What I Like,2178523,N/A
Rudimental,These Days,2151625,N/A
B.o.B,Airplanes,2148087,N/A
Christina Perri,Jar of Hearts,2141904,N/A
Sia,The Greatest,2141112,N/A
AronChupa,I'm an Albatraoz,2141024,N/A
DJ Snake,Taki Taki,2140856,N/A
Jonas Blue,Fast Car,2139732,N/A
Imagine Dragons,On Top of the World,2138460,N/A
Drake,God's Plan,2138223,N/A
Sia,Elastic Heart,2134780,N/A
Maroon 5,Don't Wanna Know,2130132,N/A
Wham!,Last Christmas,2129583,N/A
Katy Perry,Teenage Dream,2121268,N/A
Taio Cruz,Hangover,2120755,N/A
Jason Derülo,Swalla,2112860,N/A
DJ Snake & Lil Jon,Turn Down For What,2108381,N/A
Drake,"Hold On, We're Going Home",2101686,N/A
"Calvin Harris, Rag’n’Bone Man",Giant,2101390,N/A
Ed Sheeran,Beautiful People,2100728,N/A
Pitbull,Hey Baby,2092445,N/A
David Guetta & Nicki Minaj,Turn Me On,2090186,N/A
Maroon 5,What Lovers Do,2086065,N/A
Ed Sheeran,Perfect Duet,2080132,N/A
Stromae,Papaoutai,2077061,N/A
Zara Larsson,Lush Life,2073526,N/A
Kaleo,Way Down We Go,2071488,N/A
Katy Perry,Last Friday Night,2058999,N/A
French Montana,Unforgettable,2047638,N/A
Shakira,Can't Remember To Forget You,2047579,N/A
Justin Bieber,Beauty and a Beat,2042608,N/A
Enrique Iglesias,Tonight,2039263,N/A
Gusttavo Lima,Balada,2025318,N/A
Enrique Iglesias,SÚBEME LA RADIO,2018263,N/A
Skrillex,Bangarang,2013999,N/A
Calvin Harris,Sweet Nothing,2010898,N/A
Labrinth,Beneath Your Beautiful,2006729,N/A
Dean Lewis,Be Alright,2006426,N/A
Imagine Dragons,Bad Liar,2002758,N/A
Sak Noel,Loca People,2002498,N/A
Lauren Daigle,You Say,1989649,N/A
Chris Brown,Yeah 3X,1988990,N/A
Shawn Mendes,In My Blood,1988153,N/A
Britney Spears,Till the World Ends,1985104,N/A
Kid Cudi,Pursuit of Happiness,1984977,N/A
David Guetta,Lovers on the Sun,1984879,N/A
Sam Smith,Writing's on the Wall,1981194,N/A
Katy Perry,California Gurls,1975622,N/A
Selena Gomez & The Scene,Love You Like a Love Song,1975155,N/A
Tom Walker,Leave a Light On,1967390,N/A
Avicii,The Nights,1958117,N/A
Nelly,Just a Dream,1955405,N/A
Coldplay,Fix You,1943272,N/A
Calvin Harris,My Way,1938920,N/A
James Bay,Hold Back the River,1936747,N/A
Coldplay,Every Teardrop Is a Waterfall,1936214,N/A
DJ Khaled,Wild Thoughts,1929564,N/A
Cee Lo Green,F**k You,1918995,N/A
Liam Payne & Rita Ora,For You,1918343,N/A
Bruno Mars,It Will Rain,1916694,N/A
Ariana Grande,Side To Side,1914786,N/A
Kiesza,Hideaway,1914156,N/A
"Zedd, Maren Morris & Grey",The Middle,1908879,N/A
Kings of Leon,Sex On Fire,1908834,N/A
Far East Movement,Like A G6,1904585,N/A
Ed Sheeran,The a Team,1903784,N/A
Lady Gaga,I'll Never Love Again,1902429,N/A
Usher,More,1897363,N/A
Marshmello,Silence,1894417,N/A
Avicii,Waiting for Love,1876656,N/A
Zedd & Alessia Cara,Stay,1876337,N/A
Taylor Swift,Bad Blood,1872884,N/A
Gym Class Heroes,Stereo Hearts,1871694,N/A
ZAZ,Je veux,1855568,N/A
Eminem,Lose Yourself,1855094,N/A
Desiigner,Panda,1852947,N/A
Julia Michaels,Issues,1852261,N/A
Jonas Blue,Perfect Strangers,1843937,N/A
Demi Lovato,Let It Go,1839425,N/A
Justin Timberlake,Say Something,1836907,N/A
Post Malone,Circles,1827098,N/A
Taio Cruz,Higher,1826607,N/A
Taylor Swift,Look What You Made Me Do,1825681,N/A
will.i.am,This Is Love,1819844,N/A
Daddy Yankee,Con Calma,1816131,N/A
Lady GaGa,Bad Romance,1813742,N/A
Ariana Grande,7 rings,1809317,N/A
Jessie J,Domino,1803967,N/A
Ed Sheeran,Don't,1803839,N/A
Alice Merton,No Roots,1803561,N/A
Jessie J,Flashlight,1798968,N/A
Jonas Blue,Mama,1794099,N/A
Lady Gaga,Million Reasons,1789320,N/A
Kygo & Whitney Houston,Higher Love,1788308,N/A
One Direction,Drag Me Down,1782589,N/A
Calum Scott,Dancing on My Own,1777408,N/A
Selena Gomez,Come & Get It,1772133,N/A
Justin Bieber,Boyfriend,1769282,N/A
gnash,"i hate u, i love u",1766132,N/A
Ariana Grande,"thank u, next",1764392,N/A
Meghan Trainor,Like I'm Gonna Lose You,1763911,N/A
Lana Del Rey & Cedric Gervais,Summertime Sadness,1763728,N/A
Katy Perry,Wide Awake,1763310,N/A
Jesse & Joy,¡Corre,1761564,N/A
OneRepublic,Love Runs Out,1757902,N/A
Flo Rida,I Cry,1755392,N/A
Eagles,Hotel California,1754691,N/A
Duke Dumont,Ocean Drive,1753998,N/A
DJ Khaled,I'm the One,1749831,N/A
Charlie Puth,How Long,1747126,N/A
Sean Paul,Got 2 Luv U,1744909,N/A
Feder,Goodbye,1738076,N/A
The Chainsmokers,Roses,1736322,N/A
Lorde,Team,1735723,N/A
Vance Joy,Riptide,1731463,N/A
Katy Perry,E.T.,1729015,N/A
Ariana Grande,One Last Time,1727615,N/A
Naughty Boy,Runnin',1727612,N/A
Emeli Sandé,"Read All About It, Pt. III",1726439,N/A
Ke$ha,We R Who We R,1724449,N/A
JAY Z & Kanye West,Ni**as in Paris,1724157,N/A
Justin Bieber & BloodPop®,Friends,1722749,N/A
Jax Jones,You Don't Know Me,1722049,N/A
Silento,Watch Me,1719922,N/A
Rag'n'Bone Man,Skin,1717494,N/A
Rihanna,Love on the Brain,1713609,N/A
Rita Ora,Anywhere,1706137,N/A
Nicki Minaj,Super Bass,1701171,N/A
Niall Horan,Slow Hands,1695305,N/A
Taylor Swift,Wildest Dreams,1691491,N/A
Chris Brown,Don't Wake Me Up,1680191,N/A
Demi Lovato,Heart Attack,1678600,N/A
Camila Cabello,Never Be the Same,1675308,N/A
Calvin Harris & Alesso,Under Control,1675194,N/A
Eminem,River,1670131,N/A
Loud Luxury,Body,1667914,N/A
